datetime,center_lat,center_lon,track_number,total_precip,area,angle_of_movement
2019-05-02 12:30:00,45.592,7.775,10736,29.172,9,55.051
2019-05-02 13:30:00,45.710,8.053,10736,218.127,41,55.051
2019-05-02 14:30:00,45.929,8.465,10736,328.143,71,45.063
2019-05-02 15:30:00,46.200,8.757,10736,527.883,164,22.929
2019-05-02 16:30:00,46.847,9.025,10736,680.324,250,25.250
2019-05-02 17:30:00,47.247,9.477,10736,775.806,276,49.353
2019-05-02 18:30:00,47.326,9.844,10736,943.372,276,63.999
2019-05-02 19:30:00,47.563,10.430,10736,773.791,241,65.481
2019-05-02 20:30:00,47.707,11.079,10736,893.259,239,73.662
2019-05-02 21:30:00,47.785,11.553,10736,651.448,200,45.413
2019-05-02 22:30:00,48.398,12.121,10736,277.793,192,39.082
2019-05-02 23:30:00,48.911,12.926,10736,339.939,163,342.283
2019-05-03 00:30:00,49.550,11.550,10736,1.096,1,150.313
2019-05-03 01:30:00,48.670,13.132,10736,9.970,8,168.620
2019-05-03 02:30:00,48.904,11.757,10736,2.227,2,288.989
2019-05-03 03:30:00,48.950,11.900,10736,2.079,2,76.286
2019-05-03 04:30:00,48.960,12.111,10736,16.425,14,76.286
2014-05-01 18:30:00,45.239,8.019,10760,34.521,10,7.487
2014-05-01 19:30:00,45.389,8.129,10760,97.318,29,7.487
2014-05-01 20:30:00,45.566,8.080,10760,255.371,44,3.694
2014-05-01 21:30:00,45.896,8.175,10760,513.105,131,1.365
2014-05-01 22:30:00,46.017,8.095,10760,1387.794,221,89.436
2014-05-01 23:30:00,45.900,8.765,10760,835.935,259,122.286
2014-05-02 00:30:00,45.755,8.690,10760,1400.172,326,170.014
2014-05-02 01:30:00,45.758,8.801,10760,1927.768,381,135.500
2014-05-02 02:30:00,45.540,8.991,10760,1560.931,355,118.024
2014-05-02 03:30:00,45.659,9.066,10760,2159.825,527,83.124
2014-05-02 04:30:00,45.589,9.562,10760,1462.961,344,26.451
2014-05-02 05:30:00,45.950,9.272,10760,1806.675,413,177.604
2014-05-02 06:30:00,45.423,9.572,10760,1633.994,536,183.558
2014-05-02 07:30:00,45.467,9.231,10760,2050.017,411,143.417
2014-05-02 08:30:00,44.982,10.034,10760,1703.825,430,146.936
2014-05-02 09:30:00,44.994,9.668,10760,1694.806,524,120.786
2014-05-02 10:30:00,44.787,10.494,10760,1543.356,490,103.304
2014-05-02 11:30:00,44.806,10.786,10760,2016.481,467,118.702
2014-05-02 12:30:00,44.624,10.914,10760,3208.600,671,116.646
2014-05-02 13:30:00,44.492,11.662,10760,3147.734,896,107.031
2014-05-02 14:30:00,44.395,11.959,10760,2645.421,663,130.946
2014-05-02 15:30:00,44.158,12.198,10760,1598.264,546,170.146
2014-05-02 16:30:00,44.127,12.024,10760,963.290,376,302.813
2014-05-02 17:30:00,44.578,11.291,10760,642.496,232,65.111
2014-05-02 18:30:00,44.678,13.692,10760,516.025,239,91.060
2014-05-02 19:30:00,44.496,17.488,10760,686.495,220,91.060
2005-05-03 11:30:00,47.588,6.044,10901,1956.028,248,60.999
2005-05-03 12:30:00,48.342,6.355,10901,2467.764,690,60.999
2005-05-03 13:30:00,47.982,7.105,10901,3768.755,962,116.562
2005-05-03 14:30:00,47.902,7.668,10901,4742.766,993,54.156
2005-05-03 15:30:00,48.776,8.748,10901,4994.511,1181,64.522
2005-05-03 16:30:00,48.265,8.810,10901,8594.318,1146,132.928
2005-05-03 17:30:00,48.180,9.708,10901,8504.984,1084,97.640
2005-05-03 18:30:00,48.124,10.383,10901,6499.006,1104,123.485
2005-05-03 19:30:00,47.674,10.849,10901,6433.138,1106,133.030
2005-05-03 20:30:00,47.606,11.206,10901,5342.058,1039,108.687
2005-05-03 21:30:00,47.573,11.291,10901,3995.840,848,17.963
2005-05-03 22:30:00,48.765,11.766,10901,1635.850,708,17.963
2003-05-08 15:30:00,47.684,7.744,10929,1320.380,172,66.614
2003-05-08 16:30:00,47.637,7.785,10929,2477.785,290,66.614
2003-05-08 17:30:00,47.833,8.254,10929,3101.977,499,38.471
2003-05-08 18:30:00,48.375,8.657,10929,4210.938,890,28.121
2003-05-08 19:30:00,48.655,8.912,10929,6575.834,911,45.059
2003-05-08 20:30:00,48.722,9.182,10929,6473.128,1123,75.605
2003-05-08 21:30:00,48.786,9.682,10929,5439.443,1236,67.428
2003-05-08 22:30:00,49.298,11.286,10929,4616.868,1738,60.431
2003-05-08 23:30:00,49.575,11.802,10929,2392.434,989,57.432
2003-05-09 00:30:00,49.909,12.759,10929,4217.665,1063,38.550
2003-05-09 01:30:00,50.182,12.547,10929,4690.805,1003,50.754
2003-05-09 02:30:00,50.492,13.875,10929,4488.556,1134,65.879
2003-05-09 03:30:00,51.347,16.644,10929,4376.145,1312,72.460
2003-05-09 04:30:00,51.182,17.335,10929,2203.421,682,78.587
2003-05-09 05:30:00,51.466,17.585,10929,2163.376,596,60.842
2003-05-09 06:30:00,51.675,18.750,10929,2193.644,470,71.779
2003-05-09 07:30:00,51.814,19.281,10929,2377.870,470,51.126
2003-05-09 08:30:00,52.106,19.613,10929,1806.458,499,24.642
2003-05-09 09:30:00,52.501,19.793,10929,1056.642,352,11.017
2003-05-09 10:30:00,52.986,19.894,10929,452.210,214,13.815
2003-05-09 11:30:00,53.694,20.281,10929,247.335,119,13.815
2013-05-02 11:30:00,47.168,13.631,10966,173.020,75,95.434
2013-05-02 12:30:00,46.631,14.331,10966,1811.460,458,95.434
2013-05-02 13:30:00,47.135,14.134,10966,2939.156,610,5.398
2013-05-02 14:30:00,47.252,14.418,10966,2920.492,881,16.252
2013-05-02 15:30:00,47.815,14.425,10966,2627.479,769,338.387
2013-05-02 16:30:00,47.929,14.019,10966,2410.023,716,280.322
2013-05-02 17:30:00,47.951,13.316,10966,1828.237,597,330.614
2013-05-02 18:30:00,48.282,13.725,10966,1431.767,407,29.400
2013-05-02 19:30:00,48.122,13.460,10966,1498.338,326,296.204
2013-05-02 21:30:00,48.798,12.149,10966,19.782,13,296.204
2003-05-09 10:30:00,46.925,10.541,10974,11.007,7,335.950
2003-05-09 11:30:00,47.311,10.795,10974,1030.595,275,335.950
2003-05-09 12:30:00,47.712,10.020,10974,2255.326,465,346.983
2003-05-09 13:30:00,47.897,10.598,10974,2322.814,587,67.755
2003-05-09 14:30:00,48.401,12.534,10974,2128.104,711,62.092
2003-05-09 15:30:00,49.024,13.791,10974,2576.435,686,50.710
2003-05-09 16:30:00,49.176,13.967,10974,4543.429,811,82.257
2003-05-09 17:30:00,49.105,14.707,10974,3939.900,841,85.585
2003-05-09 18:30:00,49.278,15.998,10974,4597.128,934,51.330
2003-05-09 19:30:00,49.740,15.916,10974,3883.096,600,22.751
2003-05-09 20:30:00,49.801,16.336,10974,3272.886,549,69.837
2003-05-09 21:30:00,49.933,16.729,10974,2542.289,510,262.948
2007-04-30 16:30:00,48.217,-3.139,10974,1242.056,267,260.144
2007-04-30 17:30:00,47.774,-2.204,10974,1366.174,408,119.348
2007-04-30 18:30:00,47.829,-2.110,10974,1395.504,503,32.697
2007-04-30 19:30:00,48.086,-1.907,10974,1534.859,486,23.358
2007-04-30 20:30:00,48.190,-1.878,10974,1133.700,391,133.403
2007-04-30 21:30:00,47.934,-1.667,10974,1134.331,300,303.274
2007-04-30 22:30:00,48.522,-2.636,10974,1135.199,332,310.807
2007-04-30 23:30:00,48.919,-3.383,10974,672.456,266,319.180
2007-05-01 00:30:00,49.276,-3.623,10974,640.361,221,337.628
2007-05-01 01:30:00,50.546,-4.415,10974,344.818,92,331.892
2007-05-01 02:30:00,50.647,-4.761,10974,275.743,58,294.237
2007-05-01 03:30:00,50.767,-5.187,10974,209.247,43,294.237
2010-05-04 17:30:00,45.122,9.924,11001,735.449,171,346.569
2010-05-04 18:30:00,45.346,10.192,11001,1338.296,262,346.569
2010-05-04 19:30:00,45.881,9.664,11001,1233.110,334,341.202
2010-05-04 20:30:00,46.294,9.732,11001,1763.955,312,23.349
2010-05-04 21:30:00,46.130,9.819,11001,1070.867,207,134.082
2010-05-04 22:30:00,46.212,9.855,11001,938.134,227,350.683
2010-05-04 23:30:00,48.380,9.275,11001,57.076,41,350.683
2013-05-03 13:30:00,47.782,7.058,11087,582.261,74,351.075
2013-05-03 14:30:00,47.871,7.019,11087,766.473,140,351.075
2013-05-03 15:30:00,48.272,6.943,11087,933.832,242,358.907
2013-05-03 16:30:00,48.502,7.001,11087,1181.144,203,343.189
2013-05-03 17:30:00,48.470,6.853,11087,1389.327,257,275.701
2013-05-03 18:30:00,48.518,6.764,11087,1142.117,258,40.677
2013-05-03 19:30:00,48.642,7.077,11087,1403.838,317,70.746
2013-05-03 20:30:00,48.665,7.399,11087,1501.868,347,162.814
2013-05-03 21:30:00,48.539,7.126,11087,1653.460,428,290.510
2013-05-03 22:30:00,48.739,7.100,11087,2075.789,469,358.179
2013-05-03 23:30:00,48.842,7.111,11087,1605.086,429,58.628
2013-05-04 00:30:00,48.801,7.255,11087,1252.041,414,69.247
2013-05-04 01:30:00,49.004,7.761,11087,918.959,276,61.226
2013-05-04 02:30:00,49.037,7.906,11087,1001.855,256,53.563
2013-05-04 03:30:00,49.395,8.569,11087,819.280,201,50.347
2013-05-04 04:30:00,49.469,8.702,11087,288.120,97,39.396
2013-05-04 05:30:00,49.416,8.595,11087,185.808,64,221.227
2013-05-04 06:30:00,49.207,8.351,11087,115.780,52,211.641
2013-05-04 07:30:00,49.165,8.359,11087,99.135,47,176.658
2013-05-04 08:30:00,48.983,8.371,11087,96.195,51,164.766
2013-05-04 09:30:00,48.764,8.524,11087,83.009,46,143.632
2013-05-04 10:30:00,48.700,8.687,11087,35.196,27,143.632
2015-05-06 08:30:00,46.524,9.503,11103,41.513,17,70.106
2015-05-06 09:30:00,46.707,10.063,11103,146.269,59,70.106
2015-05-06 10:30:00,46.817,10.680,11103,507.679,166,70.397
2015-05-06 11:30:00,47.350,12.703,11103,1133.218,287,75.620
2015-05-06 12:30:00,47.248,13.143,11103,1270.877,295,77.684
2015-05-06 13:30:00,47.662,14.811,11103,775.189,296,70.328
2015-05-06 14:30:00,47.825,15.528,11103,1103.748,355,74.924
2015-05-06 15:30:00,47.907,16.162,11103,515.990,222,146.156
2015-05-06 16:30:00,47.624,15.730,11103,123.162,73,57.258
2015-05-06 17:30:00,48.631,17.846,11103,6.766,6,57.258
2002-05-08 21:30:00,46.853,8.645,11129,695.045,233,257.955
2002-05-08 22:30:00,46.780,7.604,11129,1294.335,370,257.955
2002-05-08 23:30:00,46.743,7.896,11129,818.077,315,86.493
2002-05-09 00:30:00,46.814,8.430,11129,1085.708,289,93.578
2002-05-09 01:30:00,46.704,8.817,11129,593.080,145,206.485
2002-05-09 02:30:00,46.691,8.341,11129,1338.408,232,267.056
2002-05-09 03:30:00,46.658,7.532,11129,1333.098,324,263.344
2002-05-09 04:30:00,46.596,7.156,11129,1933.544,337,213.168
2002-05-09 05:30:00,46.451,7.335,11129,1411.042,321,108.150
2002-05-09 06:30:00,46.378,8.118,11129,352.594,126,93.689
2002-05-09 07:30:00,46.403,8.424,11129,275.731,124,316.472
2002-05-09 08:30:00,46.411,8.073,11129,189.567,81,276.532
2002-05-09 09:30:00,46.434,8.032,11129,214.274,61,276.532
2010-05-05 23:30:00,45.914,11.894,11133,124.106,40,36.249
2010-05-06 00:30:00,46.908,13.409,11133,1255.640,260,36.249
2010-05-06 01:30:00,46.852,12.885,11133,1731.092,301,290.418
2010-05-06 02:30:00,47.554,10.866,11133,383.053,184,304.926
2010-05-06 03:30:00,47.831,10.827,11133,814.974,328,317.751
2010-05-06 04:30:00,48.025,10.229,11133,455.845,241,291.046
2010-05-06 05:30:00,48.040,10.018,11133,117.710,64,305.333
2010-05-06 06:30:00,48.247,9.763,11133,101.783,54,269.213
2010-05-06 07:30:00,48.016,7.440,11133,60.689,45,206.030
2011-04-28 16:30:00,35.321,1.089,11133,201.603,31,198.611
2011-04-28 17:30:00,35.412,1.717,11133,266.502,68,79.167
2011-04-28 18:30:00,35.574,2.705,11133,505.966,116,81.064
2011-04-28 19:30:00,35.618,3.321,11133,641.852,155,86.502
2011-04-28 20:30:00,35.627,3.775,11133,609.050,175,90.457
2011-04-28 21:30:00,35.605,5.280,11133,752.412,251,90.944
2011-04-28 22:30:00,35.589,6.582,11133,630.299,192,89.223
2011-04-28 23:30:00,35.625,7.056,11133,748.481,203,55.695
2011-04-29 00:30:00,35.982,7.287,11133,247.828,103,50.141
2011-04-29 01:30:00,36.027,7.650,11133,78.522,36,50.141
2007-05-02 14:30:00,45.133,12.155,11197,648.223,171,37.358
2007-05-02 15:30:00,45.303,12.435,11197,736.197,138,37.358
2007-05-02 16:30:00,45.428,12.475,11197,703.257,128,336.615
2007-05-02 17:30:00,46.255,11.846,11197,330.719,146,332.133
2007-05-02 18:30:00,47.067,11.225,11197,571.702,149,305.411
2007-05-02 19:30:00,47.415,9.456,11197,483.195,128,285.362
2007-05-02 20:30:00,47.606,8.340,11197,624.816,107,262.885
2007-05-02 21:30:00,47.300,8.095,11197,772.483,232,143.631
2007-05-02 22:30:00,47.298,8.673,11197,1060.342,250,263.530
2007-05-02 23:30:00,47.156,6.232,11197,697.902,196,263.530
2002-05-10 11:30:00,48.558,15.023,11273,149.769,38,309.680
2002-05-10 12:30:00,48.975,14.219,11273,1958.549,353,309.680
2002-05-10 13:30:00,49.005,14.209,11273,1650.698,385,323.606
2002-05-10 14:30:00,49.624,13.488,11273,1610.574,524,325.023
2002-05-10 15:30:00,50.199,12.924,11273,2460.869,498,329.033
2002-05-10 16:30:00,50.283,12.875,11273,2618.418,493,297.072
2002-05-10 17:30:00,50.489,12.037,11273,1596.092,464,295.167
2002-05-10 18:30:00,50.845,10.999,11273,986.193,325,276.834
2002-05-10 19:30:00,50.634,10.139,11273,390.394,120,222.600
2002-05-10 20:30:00,50.532,10.544,11273,141.719,50,222.600
2013-05-05 14:30:00,45.156,10.678,11278,2349.305,483,301.543
2013-05-05 15:30:00,45.359,10.394,11278,2904.547,478,301.543
2013-05-05 16:30:00,45.311,10.320,11278,3282.555,466,268.056
2013-05-05 17:30:00,45.353,10.116,11278,2917.130,587,293.410
2013-05-05 18:30:00,45.445,9.879,11278,3082.268,541,292.153
2013-05-05 19:30:00,45.427,9.858,11278,3166.956,536,268.043
2013-05-05 20:30:00,45.440,9.660,11278,3789.763,594,260.675
2013-05-05 21:30:00,45.388,9.520,11278,2958.406,535,275.246
2013-05-05 22:30:00,45.496,8.793,11278,2069.990,442,257.367
2013-05-05 23:30:00,45.172,8.156,11278,610.741,177,257.367
2007-05-05 06:30:00,47.295,8.741,11456,1175.315,323,222.060
2007-05-05 07:30:00,46.869,8.398,11456,766.797,315,222.060
2007-05-05 08:30:00,46.647,7.888,11456,660.498,258,132.837
2007-05-05 09:30:00,46.732,8.612,11456,916.776,318,76.042
