datetime,center_lat,center_lon,track_number,total_precip,area,angle_of_movement
2016-05-01 14:30:00,39.148,19.476,10530,733.772,239,40.102
2016-05-01 15:30:00,39.204,19.987,10530,1657.129,357,40.102
2016-05-01 16:30:00,39.802,20.185,10530,1124.234,396,22.675
2016-05-01 17:30:00,40.418,20.647,10530,1028.810,436,42.043
2016-05-01 18:30:00,40.667,21.207,10530,1132.277,389,60.046
2016-05-01 19:30:00,40.773,21.455,10530,1422.867,342,53.874
2016-05-01 20:30:00,40.951,21.719,10530,1408.566,326,55.338
2016-05-01 21:30:00,40.954,21.799,10530,1098.830,301,55.338
2016-05-02 03:30:00,39.432,15.441,10586,229.987,108,94.464
2016-05-02 04:30:00,39.292,16.638,10586,554.178,196,94.464
2016-05-02 05:30:00,39.319,17.313,10586,1596.241,414,57.474
2016-05-02 06:30:00,39.661,17.384,10586,1702.271,546,5.888
2016-05-02 07:30:00,39.934,17.395,10586,2549.840,765,353.688
2016-05-02 08:30:00,40.417,17.275,10586,4034.703,840,21.616
2016-05-02 09:30:00,40.301,17.586,10586,3923.558,854,116.239
2016-05-02 10:30:00,40.226,17.780,10586,4555.409,984,51.816
2016-05-02 11:30:00,40.565,18.025,10586,4928.896,1118,36.431
2016-05-02 12:30:00,40.773,18.309,10586,6466.243,1082,21.608
2016-05-02 13:30:00,41.126,18.318,10586,4783.832,1054,12.636
2016-05-02 14:30:00,41.297,18.464,10586,5002.210,1175,85.172
2016-05-02 15:30:00,41.226,19.881,10586,6070.617,1155,80.858
2016-05-02 16:30:00,41.492,20.072,10586,4721.154,1103,47.662
2016-05-02 17:30:00,41.769,20.676,10586,5471.121,1418,73.481
2016-05-02 18:30:00,41.835,21.619,10586,7456.409,1753,82.774
2016-05-02 19:30:00,41.920,22.271,10586,8219.271,1806,74.363
2016-05-02 20:30:00,42.053,22.661,10586,6902.673,1675,36.563
2016-05-02 21:30:00,42.370,22.718,10586,5239.294,1683,339.319
2016-05-02 22:30:00,42.573,22.395,10586,4193.602,1679,305.750
2016-05-02 23:30:00,42.714,22.071,10586,4481.609,1573,27.792
2016-05-03 00:30:00,43.004,22.705,10586,5341.821,1460,61.297
2016-05-03 01:30:00,43.080,22.983,10586,4074.926,1372,61.742
2016-05-03 02:30:00,43.683,24.437,10586,2501.968,1013,61.516
2016-05-03 03:30:00,44.088,25.541,10586,2058.648,791,78.999
2016-05-03 04:30:00,43.998,26.684,10586,1952.067,706,88.411
2016-05-03 05:30:00,44.121,27.190,10586,1530.930,668,77.378
2016-05-03 06:30:00,44.243,28.201,10586,875.251,408,70.468
2016-05-03 07:30:00,44.404,28.297,10586,1085.338,341,14.387
2016-05-03 08:30:00,44.646,28.345,10586,1309.044,348,289.119
2016-05-03 09:30:00,45.789,22.643,10586,177.716,109,296.636
2016-05-03 10:30:00,46.371,23.490,10586,117.398,80,45.171
2016-05-03 11:30:00,46.945,24.324,10586,23.858,16,45.171
2019-05-04 19:30:00,42.291,18.559,10943,359.019,134,68.849
2019-05-04 20:30:00,42.782,18.905,10943,1523.071,413,68.849
2019-05-04 21:30:00,42.372,18.843,10943,1382.425,362,184.748
2019-05-04 22:30:00,41.941,18.810,10943,1285.291,306,177.945
2019-05-04 23:30:00,41.750,18.872,10943,1544.711,288,146.779
2019-05-05 00:30:00,41.772,18.958,10943,1487.894,258,33.651
2019-05-05 01:30:00,42.187,19.263,10943,972.996,200,27.957
2019-05-05 02:30:00,42.727,19.642,10943,846.094,289,34.302
2019-05-05 03:30:00,43.405,20.394,10943,573.973,252,40.960
2019-05-05 04:30:00,43.927,21.070,10943,602.368,309,43.072
2019-05-05 05:30:00,44.161,21.370,10943,427.572,253,61.104
2019-05-05 06:30:00,44.359,22.158,10943,219.916,142,61.104
2005-05-04 14:30:00,43.636,22.917,11041,411.479,118,111.646
2005-05-04 15:30:00,43.562,23.268,11041,1003.559,162,111.646
2005-05-04 16:30:00,43.480,23.456,11041,1413.637,185,128.465
2005-05-04 17:30:00,43.203,23.887,11041,784.103,186,121.459
2005-05-04 18:30:00,42.639,25.331,11041,307.656,129,113.481
2005-05-04 19:30:00,42.605,25.759,11041,415.721,178,114.490
2005-05-04 20:30:00,42.439,25.926,11041,527.646,178,119.934
2005-05-04 21:30:00,42.363,26.328,11041,247.669,107,79.149
2005-05-04 22:30:00,42.736,28.020,11041,241.644,116,79.149
2007-05-01 10:30:00,40.305,19.344,11072,10.402,4,16.689
2007-05-01 11:30:00,40.488,19.134,11072,77.566,38,16.689
2007-05-01 12:30:00,40.606,19.463,11072,219.213,51,68.073
2007-05-01 13:30:00,40.648,19.653,11072,577.059,104,60.785
2007-05-01 14:30:00,40.675,19.625,11072,704.582,162,59.072
2007-05-01 15:30:00,40.764,19.908,11072,662.146,212,76.833
2007-05-01 16:30:00,40.796,20.306,11072,674.878,199,95.978
2007-05-01 17:30:00,40.713,20.547,11072,699.766,192,184.999
2007-05-01 18:30:00,40.535,20.276,11072,360.745,124,216.601
2007-05-01 19:30:00,40.393,20.234,11072,302.399,107,125.233
2007-05-01 20:30:00,40.324,20.666,11072,297.121,110,95.042
2007-05-01 21:30:00,40.338,21.041,11072,252.397,98,130.680
2007-05-01 22:30:00,40.253,20.775,11072,64.250,34,130.680
2010-05-05 17:30:00,38.298,18.875,11098,290.688,139,9.390
2010-05-05 18:30:00,40.644,19.148,11098,1452.109,414,9.390
2010-05-05 19:30:00,40.589,19.368,11098,2239.714,632,47.744
2010-05-05 20:30:00,40.955,19.598,11098,3412.149,744,39.721
2010-05-05 21:30:00,41.238,20.081,11098,2818.630,824,16.365
2010-05-05 22:30:00,42.418,20.167,11098,1743.356,789,349.936
2010-05-05 23:30:00,44.117,19.379,11098,1800.365,772,339.691
2010-05-06 00:30:00,44.717,18.995,11098,1857.711,575,347.649
2010-05-06 01:30:00,45.074,19.087,11098,1836.375,669,347.649
2015-05-06 22:30:00,45.591,20.883,11167,11.694,8,147.950
2015-05-06 23:30:00,45.293,20.889,11167,300.639,113,147.950
2015-05-07 00:30:00,45.211,21.220,11167,428.113,200,84.548
2015-05-07 01:30:00,45.443,23.113,11167,600.373,305,87.169
2015-05-07 02:30:00,45.307,23.973,11167,1708.616,464,95.687
2015-05-07 03:30:00,45.353,24.390,11167,1874.749,443,89.815
2015-05-07 04:30:00,45.309,25.117,11167,1396.299,456,95.504
2015-05-07 05:30:00,45.258,25.790,11167,1399.205,477,108.007
2015-05-07 06:30:00,45.018,26.385,11167,1119.645,488,128.328
2015-05-07 07:30:00,44.601,26.962,11167,1031.929,392,116.924
2015-05-07 08:30:00,44.478,27.875,11167,1122.356,356,83.899
2015-05-07 09:30:00,44.744,28.842,11167,1207.541,481,87.013
2015-05-07 10:30:00,44.536,29.436,11167,1641.236,459,146.315
2015-05-07 11:30:00,43.978,29.557,11167,2880.050,435,157.001
2015-05-07 12:30:00,43.841,29.845,11167,1080.012,324,49.357
2015-05-07 13:30:00,45.109,31.396,11167,217.294,99,49.357
2018-05-02 12:30:00,43.932,18.314,11186,217.006,56,342.476
2018-05-02 13:30:00,44.266,18.219,11186,504.365,151,342.476
2018-05-02 14:30:00,44.380,18.118,11186,839.489,206,326.929
2018-05-02 15:30:00,44.713,17.812,11186,640.524,263,336.096
2018-05-02 16:30:00,46.549,16.753,11186,2525.547,765,337.017
2018-05-02 17:30:00,46.508,16.726,11186,3089.274,897,309.926
2018-05-02 18:30:00,46.595,16.673,11186,3740.141,864,324.960
2018-05-02 19:30:00,46.961,16.264,11186,3430.658,716,332.676
2018-05-02 20:30:00,47.529,15.968,11186,3853.784,801,337.779
2018-05-02 21:30:00,47.788,15.766,11186,3163.897,779,346.426
2018-05-02 22:30:00,48.229,15.717,11186,1775.516,595,4.834
2018-05-02 23:30:00,49.228,15.951,11186,645.562,295,10.051
2018-05-03 00:30:00,50.015,16.200,11186,345.746,134,6.568
2018-05-03 01:30:00,50.113,16.107,11186,70.045,44,6.568
2006-05-09 04:30:00,41.354,14.156,11201,8.108,6,312.616
2006-05-09 06:30:00,42.083,12.493,11201,27.760,14,312.616
2006-05-09 07:30:00,42.172,12.973,11201,217.912,88,111.142
2006-05-09 08:30:00,41.685,13.876,11201,196.023,104,91.832
2006-05-09 09:30:00,42.164,13.294,11201,155.546,67,351.790
2006-05-09 10:30:00,45.184,13.196,11201,4827.673,1062,9.199
2006-05-09 11:30:00,44.846,13.909,11201,3050.266,548,133.113
