datetime,center_lat,center_lon,track_number,total_precip,area,angle_of_movement
2020-05-02 09:30:00,49.499,28.664,9985,26.825,13,85.999
2020-05-02 10:30:00,48.974,28.508,9985,311.951,109,85.999
2020-05-02 11:30:00,49.509,28.890,9985,1137.327,263,16.707
2020-05-02 12:30:00,49.693,28.837,9985,1507.389,486,326.534
2020-05-02 13:30:00,49.620,28.777,9985,2641.541,687,197.413
2020-05-02 14:30:00,49.257,28.627,9985,2434.960,648,145.069
2020-05-02 15:30:00,49.526,28.878,9985,1929.379,640,90.980
2020-05-02 16:30:00,49.255,28.861,9985,954.840,396,207.092
2020-05-02 17:30:00,48.604,28.162,9985,396.113,175,212.796
2020-05-02 18:30:00,47.938,27.581,9985,266.809,73,199.054
2020-05-02 19:30:00,47.920,27.806,9985,146.431,38,341.295
2020-05-02 20:30:00,48.272,27.411,9985,13.193,10,341.295
2020-05-03 05:30:00,48.821,28.910,10066,29.358,7,340.365
2020-05-03 06:30:00,49.031,28.866,10066,53.261,22,340.365
2020-05-03 07:30:00,49.176,28.718,10066,129.959,40,345.946
2020-05-03 08:30:00,49.291,28.767,10066,248.113,69,21.072
2020-05-03 09:30:00,49.414,28.858,10066,346.528,91,30.408
2020-05-03 10:30:00,49.720,29.153,10066,499.158,146,31.938
2020-05-03 11:30:00,50.116,29.533,10066,688.940,245,31.339
2020-05-03 12:30:00,51.595,30.949,10066,1735.236,402,32.254
2020-05-03 13:30:00,51.756,31.172,10066,2754.873,470,23.238
2020-05-03 14:30:00,52.251,31.404,10066,3047.607,583,10.563
2020-05-03 15:30:00,52.462,31.385,10066,2363.242,502,7.549
2020-05-03 16:30:00,52.622,31.484,10066,1671.049,428,168.235
2020-05-03 17:30:00,52.306,31.438,10066,697.055,231,191.843
2020-05-03 18:30:00,51.024,30.945,10066,40.696,15,191.843
2003-05-01 03:30:00,50.748,19.843,10276,721.290,189,39.644
2003-05-01 04:30:00,50.486,20.438,10276,152.763,115,39.644
2003-05-01 05:30:00,55.234,25.951,10276,1214.499,525,36.920
2003-05-01 06:30:00,55.846,27.165,10276,1571.882,580,49.143
2003-05-01 07:30:00,57.702,31.104,10276,3873.595,1148,51.771
2003-05-01 08:30:00,58.278,32.841,10276,4393.206,1205,63.565
2003-05-01 09:30:00,58.443,33.919,10276,4121.580,1267,203.549
2003-05-01 10:30:00,53.315,29.066,10276,15.477,13,201.369
2003-05-01 11:30:00,53.334,30.287,10276,70.066,58,81.218
2003-05-01 12:30:00,53.729,33.551,10276,595.784,434,135.267
2003-05-01 13:30:00,50.463,35.010,10276,7.175,6,135.267
2003-05-02 17:30:00,48.505,16.658,10402,48.075,19,75.709
2003-05-02 18:30:00,48.757,17.778,10402,134.284,71,75.709
2003-05-02 19:30:00,48.758,18.157,10402,268.539,93,195.165
2003-05-02 20:30:00,48.541,17.691,10402,293.357,96,75.171
2003-05-02 21:30:00,48.899,18.960,10402,202.859,73,69.708
2003-05-02 22:30:00,49.424,21.321,10402,527.710,292,75.642
2003-05-02 23:30:00,49.520,22.672,10402,505.038,223,79.765
2003-05-03 00:30:00,49.680,23.496,10402,695.271,211,81.555
2003-05-03 01:30:00,49.880,26.410,10402,670.320,308,84.358
2003-05-03 02:30:00,50.072,29.648,10402,747.472,370,119.981
2003-05-03 03:30:00,49.277,28.040,10402,466.580,316,248.904
2003-05-03 04:30:00,49.267,26.443,10402,357.760,154,196.107
2003-05-03 05:30:00,49.005,27.916,10402,63.532,39,91.693
2003-05-03 06:30:00,49.188,30.480,10402,21.850,17,88.199
2003-05-03 07:30:00,49.177,36.222,10402,3.744,3,94.562
2003-05-03 09:30:00,48.750,38.850,10402,1.020,1,102.218
2003-05-03 10:30:00,48.763,39.124,10402,7.205,6,102.218
2003-05-03 15:30:00,48.170,28.306,10480,383.566,89,77.562
2003-05-03 16:30:00,48.248,29.081,10480,724.884,188,77.562
2003-05-03 17:30:00,48.334,29.422,10480,1017.185,255,60.779
2003-05-03 18:30:00,48.453,29.629,10480,1007.267,333,60.230
2003-05-03 19:30:00,48.551,29.991,10480,1356.034,395,72.554
2003-05-03 20:30:00,48.615,30.407,10480,847.359,389,72.554
