datetime,center_lat,center_lon,track_number,total_precip,area,angle_of_movement
2003-05-01 11:30:00,42.928,2.377,10304,120.593,38,78.337
2003-05-01 12:30:00,42.790,2.821,10304,113.115,54,78.337
2003-05-01 13:30:00,42.954,2.549,10304,165.915,81,34.626
2003-05-01 14:30:00,43.162,3.173,10304,87.367,54,50.664
2003-05-01 15:30:00,44.029,4.349,10304,256.487,135,47.438
2003-05-01 16:30:00,44.939,5.860,10304,205.095,82,50.635
2003-05-01 17:30:00,45.911,7.583,10304,386.354,148,52.793
2003-05-01 18:30:00,46.652,9.089,10304,437.007,106,60.109
2003-05-01 19:30:00,46.818,9.867,10304,411.892,95,219.455
2003-05-01 20:30:00,46.124,8.463,10304,688.867,201,51.723
2003-05-01 21:30:00,47.039,10.276,10304,677.468,293,244.735
2003-05-01 22:30:00,44.255,2.844,10304,410.125,230,239.285
2003-05-01 23:30:00,43.259,1.255,10304,537.723,241,245.894
2003-05-02 00:30:00,43.359,0.090,10304,497.185,283,293.755
2003-05-02 01:30:00,43.468,0.608,10304,185.960,102,72.074
2003-05-02 02:30:00,43.844,2.152,10304,125.966,63,35.568
2003-05-02 03:30:00,44.991,2.108,10304,12.973,7,35.568
2020-05-09 13:30:00,42.774,-3.050,10655,52.292,16,21.838
2020-05-09 14:30:00,43.027,-3.057,10655,247.890,56,21.838
2020-05-09 15:30:00,43.624,-2.583,10655,379.355,105,35.719
2020-05-09 16:30:00,43.883,-2.211,10655,666.610,215,46.474
2020-05-09 17:30:00,44.009,-2.023,10655,1217.852,232,50.831
2020-05-09 18:30:00,44.504,-1.151,10655,1392.694,420,39.370
2020-05-09 19:30:00,44.852,-1.059,10655,2039.569,522,357.493
2020-05-09 20:30:00,45.012,-1.183,10655,2409.331,525,295.417
2020-05-09 21:30:00,44.990,-1.466,10655,2758.225,404,201.255
2020-05-09 22:30:00,44.210,-1.622,10655,1248.106,269,201.255
2020-05-09 22:30:00,46.701,-1.493,10683,917.672,205,185.492
2020-05-09 23:30:00,45.753,-1.744,10683,1541.464,374,185.492
2020-05-10 00:30:00,45.965,-1.596,10683,1495.449,366,29.461
2020-05-10 01:30:00,46.088,-1.473,10683,1703.953,337,35.208
2020-05-10 02:30:00,46.304,-1.252,10683,1170.033,286,340.224
2020-05-10 03:30:00,46.669,-1.777,10683,193.393,67,340.224
2013-05-01 05:30:00,43.975,4.094,10835,93.324,41,351.740
2013-05-01 06:30:00,44.824,4.145,10835,1056.905,255,351.740
2013-05-01 07:30:00,45.207,3.841,10835,3070.843,431,316.093
2013-05-01 08:30:00,45.669,2.991,10835,6496.552,915,330.080
2013-05-01 09:30:00,46.057,3.147,10835,9364.699,1081,7.396
2013-05-01 10:30:00,46.502,3.146,10835,8360.985,1094,344.248
2013-05-01 11:30:00,46.991,2.764,10835,6088.864,999,330.153
2013-05-01 12:30:00,47.310,2.470,10835,6580.631,845,286.159
2013-05-01 13:30:00,47.313,1.127,10835,7693.566,1179,318.285
2013-05-01 14:30:00,47.888,1.715,10835,6591.355,999,29.548
2013-05-01 15:30:00,48.211,1.881,10835,4814.560,997,342.673
2013-05-01 16:30:00,48.354,1.496,10835,3919.899,879,298.426
2013-05-01 17:30:00,48.442,1.239,10835,3595.960,701,246.966
2013-05-01 18:30:00,48.029,0.348,10835,1799.586,528,355.853
2013-05-01 19:30:00,49.021,1.181,10835,1733.147,407,36.872
2013-05-01 20:30:00,49.483,2.002,10835,1149.906,248,48.172
2013-05-01 21:30:00,50.068,2.979,10835,795.272,160,27.467
2013-05-01 22:30:00,50.030,2.439,10835,267.408,86,27.467
2005-05-02 22:30:00,46.544,0.245,10858,581.590,181,32.725
2005-05-02 23:30:00,47.735,1.110,10858,1393.328,266,32.725
2005-05-03 00:30:00,48.053,1.675,10858,1682.190,277,24.834
2005-05-03 01:30:00,49.056,2.024,10858,2217.642,266,24.108
2005-05-03 02:30:00,49.253,2.490,10858,2586.299,294,51.569
2005-05-03 03:30:00,49.549,2.974,10858,2643.427,409,28.236
2005-05-03 04:30:00,50.310,3.364,10858,1824.069,460,25.130
2005-05-03 05:30:00,50.807,3.895,10858,1809.355,425,43.842
2005-05-03 06:30:00,50.851,4.181,10858,2377.071,340,35.542
2005-05-03 07:30:00,51.477,4.653,10858,1086.605,206,38.498
2005-05-03 08:30:00,51.831,5.428,10858,993.141,195,60.679
2005-05-03 09:30:00,52.372,7.234,10858,2114.530,464,62.277
2005-05-03 10:30:00,52.660,7.996,10858,2897.137,502,65.212
2005-05-03 11:30:00,52.756,8.600,10858,2708.876,399,65.836
2005-05-03 12:30:00,52.936,9.010,10858,2561.798,408,326.744
2005-05-03 13:30:00,53.828,7.421,10858,430.611,153,353.985
2005-05-03 14:30:00,55.696,8.561,10858,374.317,244,30.898
2005-05-03 15:30:00,56.814,10.585,10858,133.472,29,45.077
2005-05-03 16:30:00,56.828,10.598,10858,34.939,8,206.800
2020-05-11 23:30:00,35.452,-4.941,10858,664.073,232,207.039
2020-05-12 00:30:00,35.794,-4.864,10858,1486.816,280,11.542
2020-05-12 01:30:00,35.846,-4.842,10858,2496.600,439,30.966
2020-05-12 02:30:00,35.891,-4.793,10858,2821.323,473,25.318
2020-05-12 03:30:00,36.263,-4.599,10858,2489.751,621,29.794
2020-05-12 04:30:00,36.233,-4.552,10858,2385.771,592,69.693
2020-05-12 05:30:00,36.318,-4.415,10858,2672.006,692,353.303
2020-05-12 06:30:00,36.590,-4.604,10858,3182.273,806,7.308
2020-05-12 07:30:00,36.867,-4.327,10858,2714.540,798,38.026
2020-05-12 08:30:00,37.462,-3.752,10858,1819.565,709,22.117
2020-05-12 09:30:00,38.935,-3.268,10858,1736.647,656,3.809
2020-05-12 10:30:00,38.902,-3.634,10858,1653.062,585,1.009
