track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
11461,2001-05-02 23:30:00,46.335,6.530,2735.368,599,132.975
11618,2001-05-04 13:30:00,47.861,14.524,154.383,37,23.505
11635,2001-05-04 16:30:00,47.798,8.817,439.820,122,77.819
11710,2001-05-05 13:30:00,47.828,11.070,72.382,34,42.949
12178,2001-05-10 13:30:00,46.502,6.256,743.462,189,164.776
14240,2001-05-31 20:30:00,45.444,13.951,158.701,57,84.005
14444,2001-06-02 18:30:00,45.462,11.202,822.625,166,106.949
14495,2001-06-03 07:30:00,47.110,12.274,91.678,32,238.119
15863,2001-06-16 14:30:00,45.491,8.445,15.223,9,52.017
15975,2001-06-17 13:30:00,45.988,12.581,44.459,18,248.365
16949,2001-06-27 13:30:00,46.834,8.425,442.193,107,69.990
17043,2001-06-28 11:30:00,47.155,15.188,548.455,95,94.451
17238,2001-06-30 15:30:00,47.236,11.778,242.607,33,211.183
17850,2001-07-07 14:30:00,48.939,11.999,1397.073,384,37.641
18666,2001-07-15 16:30:00,48.701,11.960,1061.129,209,42.393
19530,2001-07-23 12:30:00,47.043,6.815,134.022,23,46.038
20065,2001-07-28 10:30:00,46.874,6.332,52.794,12,30.185
20672,2001-08-03 13:30:00,48.715,11.885,4.132,2,134.311
20779,2001-08-04 15:30:00,45.275,8.561,235.071,80,23.305
22061,2001-08-17 13:30:00,47.404,12.149,227.667,46,60.900
23300,2001-08-31 11:30:00,46.079,8.847,620.062,104,120.918
11129,2002-05-08 21:30:00,46.853,8.645,695.045,233,257.955
11273,2002-05-10 11:30:00,48.558,15.023,149.769,38,309.680
11925,2002-05-18 14:30:00,47.704,9.813,269.846,66,59.735
12536,2002-05-25 14:30:00,45.805,8.239,32.149,11,88.753
12666,2002-05-27 03:30:00,46.552,8.418,486.459,136,56.777
12720,2002-05-27 16:30:00,45.320,12.354,375.135,99,166.016
13691,2002-06-05 14:30:00,48.496,10.416,43.264,20,9.846
14805,2002-06-16 13:30:00,47.964,13.071,377.616,162,160.684
15083,2002-06-19 13:30:00,47.088,10.051,915.326,114,337.225
15110,2002-06-19 21:30:00,45.029,7.149,108.203,22,11.946
15408,2002-06-23 12:30:00,47.411,15.202,193.159,85,247.125
15840,2002-06-28 12:30:00,45.561,13.124,2979.882,247,59.496
16786,2002-07-09 16:30:00,48.125,10.194,1871.168,302,44.846
17033,2002-07-12 18:30:00,45.612,7.557,327.112,55,60.431
17587,2002-07-18 13:30:00,45.720,8.282,69.746,34,123.657
17830,2002-07-21 14:30:00,47.345,12.636,501.285,106,60.807
18557,2002-07-29 13:30:00,46.222,15.506,1413.099,307,274.111
18744,2002-07-31 12:30:00,45.746,13.749,280.144,105,203.766
18829,2002-08-01 12:30:00,46.319,7.477,1212.313,288,111.518
19063,2002-08-03 21:30:00,45.664,9.865,205.349,68,42.085
19140,2002-08-04 18:30:00,45.603,10.296,526.059,133,73.247
19229,2002-08-05 17:30:00,45.201,8.997,166.873,51,57.324
19538,2002-08-08 22:30:00,45.353,8.722,1036.138,365,132.619
20432,2002-08-19 12:30:00,48.080,5.354,25.835,7,23.591
20552,2002-08-20 14:30:00,47.686,8.382,977.800,193,347.087
21786,2002-09-02 18:30:00,47.140,14.555,195.795,37,255.008
23420,2002-09-20 21:30:00,45.799,14.052,278.797,89,138.865
23456,2002-09-21 10:30:00,45.447,13.601,291.484,46,192.823
10929,2003-05-08 15:30:00,47.684,7.744,1320.380,172,66.614
10974,2003-05-09 10:30:00,46.925,10.541,11.007,7,335.950
11849,2003-05-20 02:30:00,46.950,13.367,4.175,3,300.932
12647,2003-05-28 13:30:00,47.241,13.050,1061.942,262,273.359
13754,2003-06-08 20:30:00,47.733,14.035,185.075,37,5.731
14171,2003-06-12 19:30:00,47.132,7.901,2282.669,499,245.202
14671,2003-06-17 17:30:00,47.015,11.728,138.284,36,207.908
15223,2003-06-23 13:30:00,46.672,11.780,49.829,23,82.682
15353,2003-06-24 14:30:00,46.464,15.490,94.162,41,293.555
15442,2003-06-25 14:30:00,46.087,11.334,837.025,130,91.591
