track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
11699,2001-05-05 12:30:00,43.969,18.318,34.535,27,307.463
13015,2001-05-19 13:30:00,42.726,25.273,275.984,119,90.638
13230,2001-05-21 22:30:00,44.508,23.849,1063.044,356,279.962
14240,2001-05-31 20:30:00,45.444,13.951,158.701,57,84.005
14554,2001-06-03 19:30:00,44.374,18.048,4010.087,489,57.629
15645,2001-06-14 12:30:00,41.421,22.782,189.031,116,32.743
16028,2001-06-18 02:30:00,45.507,18.252,669.195,243,167.082
16041,2001-06-18 05:30:00,45.401,20.621,515.090,113,46.769
16075,2001-06-18 13:30:00,44.762,23.510,963.000,330,85.709
16116,2001-06-19 01:30:00,42.273,23.438,52.551,32,67.327
16145,2001-06-19 09:30:00,42.356,22.741,13.504,8,71.448
17129,2001-06-29 09:30:00,43.162,20.329,262.043,55,321.457
17366,2001-07-02 03:30:00,41.274,20.680,82.111,45,119.308
18230,2001-07-11 09:30:00,43.073,24.556,246.459,79,49.801
18798,2001-07-16 21:30:00,42.070,15.841,16.793,14,342.384
22650,2001-08-24 15:30:00,42.698,21.957,521.314,213,302.092
23419,2001-09-01 20:30:00,44.994,15.359,1809.246,515,47.424
23729,2001-09-05 01:30:00,40.047,16.317,12.281,7,302.591
23749,2001-09-05 08:30:00,44.138,17.064,4583.498,878,128.133
23777,2001-09-05 16:30:00,38.979,21.780,723.829,170,134.441
24658,2001-09-14 20:30:00,42.049,14.586,66.263,33,64.519
24699,2001-09-15 07:30:00,43.773,18.098,2672.186,385,322.599
24716,2001-09-15 14:30:00,44.832,18.853,534.848,99,169.188
24823,2001-09-16 13:30:00,44.581,20.990,16.327,8,352.757
24926,2001-09-17 12:30:00,45.627,20.214,674.930,248,25.272
24930,2001-09-17 13:30:00,42.420,19.228,655.497,117,71.613
25036,2001-09-18 16:30:00,45.593,20.569,905.838,196,25.648
25818,2001-09-26 06:30:00,43.033,15.200,280.141,47,107.426
11281,2002-05-10 14:30:00,44.124,19.220,639.329,177,317.812
11343,2002-05-11 11:30:00,39.805,20.274,1233.018,309,26.896
11434,2002-05-12 16:30:00,43.288,21.116,478.566,216,165.780
12003,2002-05-19 13:30:00,44.311,17.313,229.726,106,340.829
12539,2002-05-25 15:30:00,44.351,16.575,172.567,48,70.225
12743,2002-05-27 22:30:00,38.684,14.645,523.734,200,67.406
14121,2002-06-09 17:30:00,43.618,22.600,1787.119,484,14.575
15578,2002-06-25 15:30:00,43.738,24.380,6150.645,1234,72.661
16046,2002-06-30 22:30:00,41.936,23.035,13.303,8,97.815
16542,2002-07-06 22:30:00,45.813,18.867,153.252,46,64.180
17316,2002-07-15 19:30:00,44.263,15.291,167.065,38,334.800
17478,2002-07-17 09:30:00,45.097,22.377,19.436,11,142.484
18150,2002-07-24 22:30:00,40.023,17.803,306.691,131,210.185
18279,2002-07-26 11:30:00,39.670,19.201,393.772,91,47.189
18305,2002-07-26 20:30:00,39.343,23.598,369.431,77,28.214
18401,2002-07-27 22:30:00,40.065,24.723,823.030,136,187.480
18451,2002-07-28 12:30:00,39.681,23.607,228.784,38,88.149
18744,2002-07-31 12:30:00,45.746,13.749,280.144,105,203.766
19353,2002-08-07 03:30:00,42.034,18.382,1886.843,390,82.749
19387,2002-08-07 11:30:00,42.619,25.016,537.300,85,23.124
19576,2002-08-09 08:30:00,44.197,14.126,752.039,140,46.439
19777,2002-08-11 16:30:00,45.365,22.283,1436.510,510,40.268
19799,2002-08-11 23:30:00,43.998,22.770,686.833,158,18.481
19845,2002-08-12 10:30:00,42.244,23.340,377.224,53,45.719
20322,2002-08-18 11:30:00,38.336,23.110,269.551,92,291.276
20677,2002-08-21 22:30:00,44.016,13.999,212.846,35,100.951
21287,2002-08-28 13:30:00,42.777,16.243,7536.325,1192,79.958
21334,2002-08-28 22:30:00,43.108,14.871,363.412,76,14.002
22123,2002-09-06 17:30:00,41.530,16.780,1309.358,165,343.827
22163,2002-09-07 06:30:00,39.651,18.062,361.370,78,359.705
22768,2002-09-13 20:30:00,39.847,15.950,52.864,20,247.095
23420,2002-09-20 21:30:00,45.799,14.052,278.797,89,138.865
23456,2002-09-21 10:30:00,45.447,13.601,291.484,46,192.823
23543,2002-09-22 10:30:00,45.366,16.728,3804.460,1096,185.596
23577,2002-09-22 20:30:00,40.660,15.736,282.282,88,304.968
23614,2002-09-23 05:30:00,40.096,20.683,4202.556,610,55.578
23637,2002-09-23 12:30:00,39.955,20.159,4425.898,709,16.049
23678,2002-09-23 18:30:00,43.574,17.822,78.614,16,77.589
24027,2002-09-27 19:30:00,39.401,14.553,528.927,99,82.080
11228,2003-05-12 12:30:00,43.682,18.532,103.795,38,61.838
11394,2003-05-14 10:30:00,38.816,21.985,21.849,11,345.475
11890,2003-05-20 15:30:00,45.869,17.586,51.209,22,19.992
12234,2003-05-24 13:30:00,42.889,25.514,659.101,293,310.681
12323,2003-05-25 09:30:00,45.115,25.222,60.310,26,169.640
12434,2003-05-26 11:30:00,44.621,17.440,914.771,238,343.698
16294,2003-07-04 06:30:00,44.102,15.947,1150.131,120,90.016
21528,2003-08-25 23:30:00,42.606,14.855,153.435,35,76.639
22074,2003-08-31 14:30:00,45.676,18.804,46.557,21,102.358
24957,2003-09-28 22:30:00,43.396,17.424,9.916,7,251.317
11340,2004-05-05 10:30:00,40.175,25.722,3829.607,1377,262.335
11357,2004-05-05 14:30:00,42.115,22.781,2785.419,871,239.675
11381,2004-05-05 19:30:00,44.470,14.017,1635.150,696,11.101
