track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
11611,2001-05-04 12:30:00,50.757,16.447,36.497,16,83.235
11693,2001-05-05 11:30:00,49.981,19.898,383.979,47,322.325
12838,2001-05-17 14:30:00,50.842,17.015,298.733,78,56.021
12916,2001-05-18 09:30:00,52.619,19.475,59.829,43,173.100
12931,2001-05-18 14:30:00,48.856,22.999,115.614,25,14.849
15387,2001-06-11 16:30:00,50.259,28.905,2564.936,493,82.948
15946,2001-06-17 09:30:00,48.832,22.402,24.601,19,161.496
15982,2001-06-17 15:30:00,47.610,22.096,2821.409,639,193.861
15993,2001-06-17 17:30:00,53.783,20.795,590.823,127,54.222
16064,2001-06-18 11:30:00,52.309,28.614,234.687,62,342.132
16226,2001-06-20 12:30:00,48.397,28.370,2300.981,588,55.757
17043,2001-06-28 11:30:00,47.155,15.188,548.455,95,94.451
17658,2001-07-05 09:30:00,46.896,26.076,222.296,80,31.032
17933,2001-07-08 09:30:00,49.506,20.925,37.176,20,84.244
17961,2001-07-08 15:30:00,52.047,23.402,5025.275,681,33.052
18036,2001-07-09 10:30:00,53.512,29.515,302.648,84,88.707
18260,2001-07-11 16:30:00,50.247,16.691,1256.797,221,82.989
18292,2001-07-11 22:30:00,51.389,20.826,719.225,260,118.501
18643,2001-07-15 12:30:00,53.902,18.732,286.808,105,345.755
18660,2001-07-15 15:30:00,54.706,18.954,2320.012,524,30.360
18753,2001-07-16 12:30:00,52.181,18.313,283.738,73,14.165
18771,2001-07-16 15:30:00,53.256,18.976,7619.054,907,125.283
18843,2001-07-17 11:30:00,54.891,23.751,88.779,42,336.947
18854,2001-07-17 13:30:00,49.762,21.141,2181.455,591,335.918
19178,2001-07-20 12:30:00,47.549,16.961,887.360,218,30.822
19190,2001-07-20 14:30:00,52.933,18.605,3681.085,682,39.876
19245,2001-07-20 23:30:00,53.211,19.397,2003.864,649,240.369
19416,2001-07-22 11:30:00,49.608,25.437,211.133,43,335.482
19525,2001-07-23 12:30:00,49.789,25.018,1515.283,551,299.199
19649,2001-07-24 12:30:00,51.706,26.122,119.073,45,288.802
19764,2001-07-25 14:30:00,51.046,29.867,103.384,22,5.590
20688,2001-08-03 17:30:00,53.766,16.557,976.213,246,54.461
20789,2001-08-04 16:30:00,50.748,19.640,55.634,29,91.089
20841,2001-08-05 07:30:00,49.492,20.249,866.447,155,48.255
20902,2001-08-05 19:30:00,49.633,25.356,1506.714,501,135.314
21196,2001-08-08 15:30:00,49.937,17.950,8.552,6,58.279
21281,2001-08-09 10:30:00,53.646,26.713,801.141,123,46.873
21380,2001-08-10 08:30:00,51.943,20.328,1441.896,345,56.731
21425,2001-08-10 19:30:00,46.858,21.622,227.455,36,27.156
21525,2001-08-11 20:30:00,46.503,22.912,451.629,171,29.569
22287,2001-08-20 11:30:00,49.251,15.288,100.824,28,37.144
22462,2001-08-22 14:30:00,52.769,28.028,3063.982,857,194.625
23668,2001-09-04 12:30:00,54.644,21.539,141.105,51,48.411
23833,2001-09-06 10:30:00,46.949,28.403,1482.337,559,120.440
24107,2001-09-09 01:30:00,46.669,18.110,742.962,144,26.366
24821,2001-09-16 13:30:00,46.427,26.826,2033.288,358,14.024
10851,2002-05-05 12:30:00,50.950,19.102,10.824,2,314.905
10941,2002-05-06 11:30:00,49.614,20.240,540.588,74,309.551
11273,2002-05-10 11:30:00,48.558,15.023,149.769,38,309.680
11342,2002-05-11 11:30:00,51.622,15.267,42.024,26,302.910
11413,2002-05-12 12:30:00,53.572,16.444,564.188,165,143.987
11420,2002-05-12 15:30:00,51.512,17.762,1170.222,299,46.390
12597,2002-05-26 10:30:00,48.500,22.835,218.949,82,69.201
12699,2002-05-27 12:30:00,50.088,23.367,1026.900,327,279.550
12716,2002-05-27 16:30:00,53.295,23.579,1939.703,406,43.759
12808,2002-05-28 15:30:00,49.939,21.546,611.055,142,54.946
13569,2002-06-04 14:30:00,52.071,25.798,1664.343,521,217.069
13804,2002-06-06 16:30:00,49.618,15.135,196.554,81,166.130
15277,2002-06-21 21:30:00,52.876,21.993,136.378,50,191.570
15408,2002-06-23 12:30:00,47.411,15.202,193.159,85,247.125
