track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
12102,2001-05-09 15:30:00,41.855,-0.627,1022.055,332,82.830
12861,2001-05-17 21:30:00,40.325,-0.991,710.668,213,55.415
14119,2001-05-30 16:30:00,47.101,1.714,55.629,27,55.572
17670,2001-07-05 12:30:00,45.167,1.822,208.863,55,8.294
17698,2001-07-05 20:30:00,45.775,1.831,2336.719,292,13.659
19483,2001-07-23 01:30:00,46.476,0.825,920.210,183,88.490
19957,2001-07-27 12:30:00,45.071,4.135,182.165,101,238.672
20014,2001-07-28 00:30:00,43.906,-0.652,1291.997,266,226.570
22148,2001-08-18 15:30:00,46.285,2.619,673.681,152,78.347
22223,2001-08-19 13:30:00,45.822,2.631,157.801,101,139.054
23039,2001-08-28 20:30:00,45.110,-0.919,2303.166,452,31.948
23128,2001-08-29 13:30:00,45.130,3.437,22.338,12,23.357
23573,2001-09-03 13:30:00,41.162,-2.042,271.875,99,108.700
23844,2001-09-06 13:30:00,40.521,-3.622,73.157,41,93.263
25452,2001-09-22 17:30:00,43.285,-4.699,5950.240,1238,113.823
26085,2001-09-28 23:30:00,41.564,4.684,1031.340,314,105.131
11188,2002-05-09 12:30:00,47.293,4.223,74.301,38,300.037
13475,2002-06-03 18:30:00,43.019,-0.202,8.804,7,74.294
15758,2002-06-27 15:30:00,45.348,4.606,76.270,22,53.398
16638,2002-07-08 01:30:00,41.402,-3.550,2.235,2,351.996
17012,2002-07-12 12:30:00,42.565,1.626,304.167,76,20.850
17075,2002-07-13 08:30:00,40.786,2.957,41.945,23,49.394
18561,2002-07-29 13:30:00,41.792,-0.336,95.662,39,340.729
19445,2002-08-08 03:30:00,40.556,1.742,187.345,49,293.459
20334,2002-08-18 13:30:00,48.325,1.610,116.190,31,30.174
20474,2002-08-19 19:30:00,43.650,-2.450,3.159,3,34.816
20641,2002-08-21 12:30:00,40.452,-0.913,25.445,11,286.989
20657,2002-08-21 18:30:00,42.649,-0.132,902.049,290,71.983
20870,2002-08-24 00:30:00,49.873,4.392,1215.866,399,64.762
21052,2002-08-26 01:30:00,41.440,3.189,617.507,105,196.688
21204,2002-08-27 14:30:00,41.211,4.401,2459.202,735,93.660
21837,2002-09-03 13:30:00,42.665,2.012,225.388,47,82.617
21859,2002-09-03 18:30:00,44.318,3.572,945.547,221,91.135
22683,2002-09-12 20:30:00,40.908,1.759,436.716,33,102.793
23221,2002-09-18 15:30:00,47.513,-1.330,117.988,35,132.212
23390,2002-09-20 13:30:00,44.776,-0.324,126.012,19,43.515
23410,2002-09-20 18:30:00,44.200,-0.745,27.018,7,166.103
23469,2002-09-21 13:30:00,44.244,0.201,70.537,15,96.443
10304,2003-05-01 11:30:00,42.928,2.377,120.593,38,78.337
11573,2003-05-16 12:30:00,40.825,-1.964,1041.228,348,164.019
12395,2003-05-25 23:30:00,42.276,4.935,1095.937,338,323.846
12846,2003-05-31 22:30:00,45.788,3.707,247.372,38,200.785
13020,2003-06-01 13:30:00,41.826,0.485,117.795,58,16.641
13215,2003-06-03 12:30:00,46.550,0.791,80.328,37,48.530
15470,2003-06-25 21:30:00,46.094,3.823,22.421,15,65.943
15537,2003-06-26 12:30:00,44.710,4.270,2.579,2,32.224
17499,2003-07-15 12:30:00,43.452,-3.672,384.913,125,93.285
21402,2003-08-24 13:30:00,42.763,0.996,48.491,33,94.610
22427,2003-09-04 01:30:00,42.676,-1.983,624.453,241,208.406
22679,2003-09-06 12:30:00,40.777,-1.023,6.680,3,200.113
22724,2003-09-07 00:30:00,47.456,-1.827,102.730,65,175.982
24251,2003-09-22 05:30:00,43.405,3.231,679.344,88,339.619
24276,2003-09-22 13:30:00,40.677,0.219,169.464,39,210.498
24326,2003-09-22 23:30:00,41.296,3.431,2846.053,518,208.205
24780,2003-09-27 02:30:00,43.559,-2.738,21.873,6,118.436
24874,2003-09-28 00:30:00,41.576,4.091,418.652,80,86.576
12689,2004-05-20 13:30:00,44.717,2.752,447.362,137,283.771
12761,2004-05-21 12:30:00,43.939,-0.272,772.837,108,121.692
14861,2004-06-11 04:30:00,46.493,2.642,164.295,60,74.434
14988,2004-06-12 12:30:00,41.936,-0.409,183.555,56,113.982
20202,2004-08-01 12:30:00,44.035,-1.884,153.772,48,150.767
20347,2004-08-02 19:30:00,48.294,-1.875,312.802,80,9.736
20440,2004-08-03 11:30:00,44.944,4.813,27.693,20,108.340
20482,2004-08-04 01:30:00,43.558,0.509,1123.689,271,69.971
23848,2004-09-10 01:30:00,48.316,-1.289,1982.328,431,359.593
10858,2005-05-02 22:30:00,46.544,0.245,581.590,181,32.725
12173,2005-05-16 12:30:00,42.848,-4.390,131.814,55,71.240
14820,2005-06-11 12:30:00,42.750,0.699,2.714,2,121.636
15029,2005-06-13 12:30:00,42.843,-0.034,85.020,52,7.875
15921,2005-06-22 13:30:00,40.215,-1.071,24.816,10,19.814
16061,2005-06-24 00:30:00,49.518,-4.488,747.791,126,12.524
16107,2005-06-24 12:30:00,45.752,3.306,142.876,65,311.699
16433,2005-06-27 22:30:00,49.752,-1.723,109.448,49,19.518
16491,2005-06-28 14:30:00,48.190,2.013,514.346,204,120.327
19350,2005-07-27 19:30:00,48.211,-2.001,149.198,27,35.084
19792,2005-08-01 12:30:00,41.093,-0.682,65.493,35,82.899
22604,2005-08-31 19:30:00,43.030,-2.033,17.116,9,37.475
23371,2005-09-09 20:30:00,44.793,-1.377,3637.760,539,35.524
24654,2005-09-25 03:30:00,45.362,-2.273,16.416,13,152.122
24715,2005-09-25 17:30:00,41.762,2.743,4497.931,500,183.957
10884,2006-05-06 00:30:00,46.423,-2.237,440.490,126,32.487
11052,2006-05-07 12:30:00,45.814,-3.376,1838.527,615,87.890
11108,2006-05-08 06:30:00,45.013,0.905,134.167,68,76.145
11440,2006-05-11 13:30:00,41.636,-4.569,41.405,21,356.515
11913,2006-05-16 04:30:00,46.168,-1.616,38.399,23,306.258
15345,2006-06-19 17:30:00,41.334,-1.116,68.672,28,12.331
15896,2006-06-24 14:30:00,44.659,1.595,18.633,12,27.786
16213,2006-06-27 14:30:00,40.951,-1.219,55.299,20,38.956
16306,2006-06-28 14:30:00,42.881,1.576,210.614,90,90.274
16678,2006-07-02 20:30:00,44.351,-3.004,78.286,32,347.934
16815,2006-07-04 11:30:00,49.502,2.050,2.299,2,83.036
16877,2006-07-05 04:30:00,42.643,1.006,5.690,4,16.123
16930,2006-07-05 20:30:00,45.314,3.743,447.630,167,24.250
18173,2006-07-19 15:30:00,41.348,-1.475,283.243,104,357.152
18368,2006-07-21 15:30:00,47.053,-0.450,56.613,46,92.668
18700,2006-07-25 05:30:00,45.750,-3.300,26.738,2,118.077
18838,2006-07-26 14:30:00,49.499,-1.076,1291.966,148,94.624
20431,2006-08-12 10:30:00,49.484,3.360,211.691,109,168.164
20517,2006-08-13 09:30:00,45.450,4.050,3.725,3,64.255
20807,2006-08-16 14:30:00,45.671,4.189,23.017,11,274.646
21504,2006-08-23 11:30:00,48.771,-4.169,653.927,144,42.859
21532,2006-08-23 17:30:00,49.154,-1.279,1645.072,301,34.737
21558,2006-08-23 22:30:00,49.675,0.384,2932.537,546,22.287
23173,2006-09-09 11:30:00,40.102,-4.424,66.317,40,74.497
23266,2006-09-10 13:30:00,45.547,4.961,126.316,51,88.318
23344,2006-09-11 10:30:00,40.760,-1.600,67.216,15,354.904
23728,2006-09-15 06:30:00,40.301,3.934,1628.859,328,31.553
12299,2007-05-14 02:30:00,43.964,-1.057,295.602,67,134.781
12780,2007-05-19 11:30:00,41.176,-4.464,181.852,75,255.113
13424,2007-05-25 14:30:00,41.981,0.292,959.770,451,354.506
14576,2007-06-05 13:30:00,46.839,3.182,54.722,21,148.813
14795,2007-06-07 16:30:00,48.784,4.159,887.896,229,348.133
15139,2007-06-10 12:30:00,47.107,4.158,14.733,6,81.299
16239,2007-06-20 14:30:00,42.013,0.644,35.789,24,35.335
16260,2007-06-20 18:30:00,43.761,-1.129,251.230,59,56.312
17861,2007-07-08 13:30:00,48.517,1.905,214.655,110,131.459
17900,2007-07-08 22:30:00,43.201,2.428,617.701,305,54.785
