datetime,wt
2001-06-01 00:30:00,1
2001-06-01 01:30:00,1
2001-06-01 02:30:00,1
2001-06-01 03:30:00,1
2001-06-01 04:30:00,1
2001-06-01 05:30:00,1
2001-06-01 06:30:00,1
2001-06-01 07:30:00,1
2001-06-01 08:30:00,1
2001-06-01 09:30:00,1
2001-06-01 10:30:00,1
2001-06-01 11:30:00,1
2001-06-01 12:30:00,1
2001-06-01 13:30:00,1
2001-06-01 14:30:00,1
2001-06-01 15:30:00,1
2001-06-01 16:30:00,1
2001-06-01 17:30:00,1
2001-06-01 18:30:00,1
2001-06-01 19:30:00,1
2001-06-01 20:30:00,1
2001-06-01 21:30:00,1
2001-06-01 22:30:00,1
2001-06-01 23:30:00,1
2001-06-02 00:30:00,1
2001-06-02 01:30:00,1
2001-06-02 02:30:00,1
2001-06-02 03:30:00,1
2001-06-02 04:30:00,1
2001-06-02 05:30:00,1
2001-06-02 06:30:00,1
2001-06-02 07:30:00,1
2001-06-02 08:30:00,1
2001-06-02 09:30:00,1
2001-06-02 10:30:00,1
2001-06-02 11:30:00,1
2001-06-02 12:30:00,1
2001-06-02 13:30:00,1
2001-06-02 14:30:00,1
2001-06-02 15:30:00,1
2001-06-02 16:30:00,1
2001-06-02 17:30:00,1
2001-06-02 18:30:00,1
2001-06-02 19:30:00,1
2001-06-02 20:30:00,1
2001-06-02 21:30:00,1
2001-06-02 22:30:00,1
2001-06-02 23:30:00,1
2001-06-03 00:30:00,8
2001-06-03 01:30:00,8
2001-06-03 02:30:00,8
2001-06-03 03:30:00,8
2001-06-03 04:30:00,8
2001-06-03 05:30:00,8
2001-06-03 06:30:00,8
2001-06-03 07:30:00,8
2001-06-03 08:30:00,8
2001-06-03 09:30:00,8
2001-06-03 10:30:00,8
2001-06-03 11:30:00,8
2001-06-03 12:30:00,8
2001-06-03 13:30:00,8
2001-06-03 14:30:00,8
2001-06-03 15:30:00,8
2001-06-03 16:30:00,8
2001-06-03 17:30:00,8
2001-06-03 18:30:00,8
2001-06-03 19:30:00,8
2001-06-03 20:30:00,8
2001-06-03 21:30:00,8
2001-06-03 22:30:00,8
2001-06-03 23:30:00,8
2001-06-04 00:30:00,8
2001-06-04 01:30:00,8
2001-06-04 02:30:00,8
2001-06-04 03:30:00,8
2001-06-04 04:30:00,8
2001-06-04 05:30:00,8
2001-06-04 06:30:00,8
