time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2001-01-06 10:30:00,2001-01-06 16:30:00,2001-01-06 22:30:00,2001-01-07 04:30:00,2001-01-07 10:30:00,45.30796,12.49576,577,38.955437,42,
2001-01-29 10:30:00,2001-01-29 16:30:00,2001-01-29 22:30:00,2001-01-30 04:30:00,2001-01-30 10:30:00,45.827034,12.618114,2690,571.42017,1022,
2001-03-17 01:30:00,2001-03-17 07:30:00,2001-03-17 13:30:00,2001-03-17 19:30:00,2001-03-18 01:30:00,43.828037,11.047053,6771,639.0543,101,
2001-03-26 07:30:00,2001-03-26 13:30:00,2001-03-26 19:30:00,2001-03-27 01:30:00,2001-03-27 07:30:00,43.870003,12.296666,7789,0.0,15,
2001-06-02 06:30:00,2001-06-02 12:30:00,2001-06-02 18:30:00,2001-06-03 00:30:00,2001-06-03 06:30:00,45.537426,11.262622,14444,899.6853,426,
2001-06-16 02:30:00,2001-06-16 08:30:00,2001-06-16 14:30:00,2001-06-16 20:30:00,2001-06-17 02:30:00,45.483364,8.429261,15863,16.069988,10,
2001-07-16 10:30:00,2001-07-16 16:30:00,2001-07-16 22:30:00,2001-07-17 04:30:00,2001-07-17 10:30:00,44.435997,12.642785,18800,264.31818,312,
2001-08-04 03:30:00,2001-08-04 09:30:00,2001-08-04 15:30:00,2001-08-04 21:30:00,2001-08-05 03:30:00,45.25519,8.554385,20779,250.958,134,
2001-09-04 10:30:00,2001-09-04 16:30:00,2001-09-04 22:30:00,2001-09-05 04:30:00,2001-09-05 10:30:00,43.340313,12.578775,23720,299.76794,67,
2001-11-11 08:30:00,2001-11-11 14:30:00,2001-11-11 20:30:00,2001-11-12 02:30:00,2001-11-12 08:30:00,45.235626,11.325536,30043,4795.449,4218,
2001-11-11 11:30:00,2001-11-11 17:30:00,2001-11-11 23:30:00,2001-11-12 05:30:00,2001-11-12 11:30:00,45.87681,12.07742,30051,3858.962,1834,
2002-01-24 03:30:00,2002-01-24 09:30:00,2002-01-24 15:30:00,2002-01-24 21:30:00,2002-01-25 03:30:00,45.18541,10.507391,2089,863.103,1231,
2002-02-17 09:30:00,2002-02-17 15:30:00,2002-02-17 21:30:00,2002-02-18 03:30:00,2002-02-18 09:30:00,43.364517,11.256744,4005,188.22083,309,
2002-04-09 00:30:00,2002-04-09 06:30:00,2002-04-09 12:30:00,2002-04-09 18:30:00,2002-04-10 00:30:00,44.39913,12.524638,8446,121.16929,94,
2002-05-25 02:30:00,2002-05-25 08:30:00,2002-05-25 14:30:00,2002-05-25 20:30:00,2002-05-26 02:30:00,45.82377,8.241857,12536,35.58013,24,
2002-05-27 04:30:00,2002-05-27 10:30:00,2002-05-27 16:30:00,2002-05-27 22:30:00,2002-05-28 04:30:00,45.20259,12.330367,12720,393.35126,258,
2002-06-28 00:30:00,2002-06-28 06:30:00,2002-06-28 12:30:00,2002-06-28 18:30:00,2002-06-29 00:30:00,45.553154,12.867033,15840,2450.0386,188,
2002-07-18 01:30:00,2002-07-18 07:30:00,2002-07-18 13:30:00,2002-07-18 19:30:00,2002-07-19 01:30:00,45.713787,8.299228,17587,94.483246,83,
2002-08-03 09:30:00,2002-08-03 15:30:00,2002-08-03 21:30:00,2002-08-04 03:30:00,2002-08-04 09:30:00,45.662205,9.865058,19063,207.14555,71,
2002-08-04 06:30:00,2002-08-04 12:30:00,2002-08-04 18:30:00,2002-08-05 00:30:00,2002-08-05 06:30:00,45.590767,10.302564,19140,549.48114,201,
2002-08-05 05:30:00,2002-08-05 11:30:00,2002-08-05 17:30:00,2002-08-05 23:30:00,2002-08-06 05:30:00,45.20523,9.058276,19229,184.41786,111,
2002-08-08 10:30:00,2002-08-08 16:30:00,2002-08-08 22:30:00,2002-08-09 04:30:00,2002-08-09 10:30:00,44.232327,9.606933,19538,35.003338,16,
2002-08-23 00:30:00,2002-08-23 06:30:00,2002-08-23 12:30:00,2002-08-23 18:30:00,2002-08-24 00:30:00,44.43287,10.880009,20830,227.90224,60,
2002-10-02 11:30:00,2002-10-02 17:30:00,2002-10-02 23:30:00,2002-10-03 05:30:00,2002-10-03 11:30:00,43.047142,10.228502,24499,826.749,1110,
2002-12-03 22:30:00,2002-12-04 04:30:00,2002-12-04 10:30:00,2002-12-04 16:30:00,2002-12-04 22:30:00,43.924244,12.284833,30077,3430.0967,2322,
2002-12-05 00:30:00,2002-12-05 06:30:00,2002-12-05 12:30:00,2002-12-05 18:30:00,2002-12-06 00:30:00,44.788857,11.824883,30172,1387.7938,1637,
2003-01-04 00:30:00,2003-01-04 06:30:00,2003-01-04 12:30:00,2003-01-04 18:30:00,2003-01-05 00:30:00,43.14477,12.69495,350,0.55485195,193,
2003-03-02 08:30:00,2003-03-02 14:30:00,2003-03-02 20:30:00,2003-03-03 02:30:00,2003-03-03 08:30:00,44.86936,10.855554,4886,83.92659,40,
2003-06-27 23:30:00,2003-06-28 05:30:00,2003-06-28 11:30:00,2003-06-28 17:30:00,2003-06-28 23:30:00,44.74095,10.499899,15734,45.02917,32,
2003-07-22 21:30:00,2003-07-23 03:30:00,2003-07-23 09:30:00,2003-07-23 15:30:00,2003-07-23 21:30:00,45.91568,12.711052,18251,141.91393,57,
2003-10-28 14:30:00,2003-10-28 20:30:00,2003-10-29 02:30:00,2003-10-29 08:30:00,2003-10-29 14:30:00,44.369736,11.532119,27692,30.4466,27,
2003-10-29 18:30:00,2003-10-30 00:30:00,2003-10-30 06:30:00,2003-10-30 12:30:00,2003-10-30 18:30:00,44.582264,11.762075,27784,49.506325,170,
2003-12-28 14:30:00,2003-12-28 20:30:00,2003-12-29 02:30:00,2003-12-29 08:30:00,2003-12-29 14:30:00,45.457184,10.875168,33234,3184.1467,3125,
2003-12-29 01:30:00,2003-12-29 07:30:00,2003-12-29 13:30:00,2003-12-29 19:30:00,2003-12-30 01:30:00,45.698154,12.290931,33278,3004.1265,2509,
2004-01-31 10:30:00,2004-01-31 16:30:00,2004-01-31 22:30:00,2004-02-01 04:30:00,2004-02-01 10:30:00,44.909996,8.530001,2854,0.0,10,
2004-02-06 23:30:00,2004-02-07 05:30:00,2004-02-07 11:30:00,2004-02-07 17:30:00,2004-02-07 23:30:00,44.406803,11.864395,3430,4.4401374,32,
2004-02-27 12:30:00,2004-02-27 18:30:00,2004-02-28 00:30:00,2004-02-28 06:30:00,2004-02-28 12:30:00,43.676292,9.548189,5254,450.60236,712,
2004-04-18 23:30:00,2004-04-19 05:30:00,2004-04-19 11:30:00,2004-04-19 17:30:00,2004-04-19 23:30:00,45.406506,10.300905,9834,223.56598,52,
