time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2001-01-09 04:30:00,2001-01-09 10:30:00,2001-01-09 16:30:00,2001-01-09 22:30:00,2001-01-10 04:30:00,48.263737,5.090315,806,483.1907,3314,
2001-04-24 10:30:00,2001-04-24 16:30:00,2001-04-24 22:30:00,2001-04-25 04:30:00,2001-04-25 10:30:00,48.429565,3.6110687,10664,390.4096,139,
2001-05-02 11:30:00,2001-05-02 17:30:00,2001-05-02 23:30:00,2001-05-03 05:30:00,2001-05-03 11:30:00,46.526974,6.2604513,11461,2710.0984,1071,
2001-05-10 01:30:00,2001-05-10 07:30:00,2001-05-10 13:30:00,2001-05-10 19:30:00,2001-05-11 01:30:00,46.29176,6.140687,12178,658.05273,205,
2001-07-23 00:30:00,2001-07-23 06:30:00,2001-07-23 12:30:00,2001-07-23 18:30:00,2001-07-24 00:30:00,47.0402,6.8126316,19530,136.5214,39,
2001-07-27 00:30:00,2001-07-27 06:30:00,2001-07-27 12:30:00,2001-07-27 18:30:00,2001-07-28 00:30:00,45.567898,4.437487,19957,113.06502,82,
2001-07-27 22:30:00,2001-07-28 04:30:00,2001-07-28 10:30:00,2001-07-28 16:30:00,2001-07-28 22:30:00,46.873596,6.332403,20065,52.794025,12,
2001-08-29 01:30:00,2001-08-29 07:30:00,2001-08-29 13:30:00,2001-08-29 19:30:00,2001-08-30 01:30:00,44.966476,3.7100015,23128,19.016071,46,
2002-06-19 09:30:00,2002-06-19 15:30:00,2002-06-19 21:30:00,2002-06-20 03:30:00,2002-06-20 09:30:00,45.02943,7.1489353,15110,108.20346,22,
2002-06-24 02:30:00,2002-06-24 08:30:00,2002-06-24 14:30:00,2002-06-24 20:30:00,2002-06-25 02:30:00,44.214783,7.7933187,15504,17.27994,11,
2002-06-27 03:30:00,2002-06-27 09:30:00,2002-06-27 15:30:00,2002-06-27 21:30:00,2002-06-28 03:30:00,45.345413,4.5985074,15758,77.69919,24,
2002-07-12 06:30:00,2002-07-12 12:30:00,2002-07-12 18:30:00,2002-07-13 00:30:00,2002-07-13 06:30:00,45.607758,7.564626,17033,340.719,78,
2002-08-01 00:30:00,2002-08-01 06:30:00,2002-08-01 12:30:00,2002-08-01 18:30:00,2002-08-02 00:30:00,46.30351,7.487604,18829,1291.7587,644,
2002-08-08 05:30:00,2002-08-08 11:30:00,2002-08-08 17:30:00,2002-08-08 23:30:00,2002-08-09 05:30:00,45.06076,7.6039605,19518,102.345566,50,
2002-08-19 00:30:00,2002-08-19 06:30:00,2002-08-19 12:30:00,2002-08-19 18:30:00,2002-08-20 00:30:00,48.074936,5.346185,20432,26.893501,11,
2002-08-20 02:30:00,2002-08-20 08:30:00,2002-08-20 14:30:00,2002-08-20 20:30:00,2002-08-21 02:30:00,48.799572,6.5495815,20552,293.48688,88,
2002-09-03 06:30:00,2002-09-03 12:30:00,2002-09-03 18:30:00,2002-09-04 00:30:00,2002-09-04 06:30:00,44.323574,3.6163583,21859,998.2717,402,
2002-09-09 00:30:00,2002-09-09 06:30:00,2002-09-09 12:30:00,2002-09-09 18:30:00,2002-09-10 00:30:00,44.260925,5.401555,22362,3163.9321,1065,
2002-10-10 06:30:00,2002-10-10 12:30:00,2002-10-10 18:30:00,2002-10-11 00:30:00,2002-10-11 06:30:00,44.26462,6.1025467,25289,5187.5303,2465,
2002-10-21 06:30:00,2002-10-21 12:30:00,2002-10-21 18:30:00,2002-10-22 00:30:00,2002-10-22 06:30:00,44.467606,3.633172,26302,5067.037,1254,
2002-11-06 11:30:00,2002-11-06 17:30:00,2002-11-06 23:30:00,2002-11-07 05:30:00,2002-11-07 11:30:00,44.914238,4.221171,27782,2239.9705,1458,
2002-11-24 10:30:00,2002-11-24 16:30:00,2002-11-24 22:30:00,2002-11-25 04:30:00,2002-11-25 10:30:00,44.642952,6.3115273,29338,282.3115,131,
2002-11-28 02:30:00,2002-11-28 08:30:00,2002-11-28 14:30:00,2002-11-28 20:30:00,2002-11-29 02:30:00,46.685238,3.3957193,29621,14.053304,11,
2002-12-23 17:30:00,2002-12-23 23:30:00,2002-12-24 05:30:00,2002-12-24 11:30:00,2002-12-24 17:30:00,45.20761,4.8775473,31814,0.39852148,48,
