track_number,datetime,center_lat,center_lon,total_precip,area
95,2001-01-01 17:30:00,48.37081,9.644091,1010.6094,1363
368,2001-01-04 18:30:00,44.22826,14.625647,4827.9053,5822
577,2001-01-06 22:30:00,45.30796,12.49576,38.955437,42
587,2001-01-07 02:30:00,47.04696,19.240042,67.15002,100
730,2001-01-08 17:30:00,40.85,22.55,0.038354743,34
732,2001-01-08 18:30:00,44.65306,15.54743,4596.354,3697
806,2001-01-09 16:30:00,48.263737,5.090315,483.1907,3314
869,2001-01-10 05:30:00,43.265343,-9.006266,825.0419,182
827,2001-01-10 05:30:00,50.58322,-7.5799656,326.94196,192
974,2001-01-11 10:30:00,40.361233,-3.1436603,2519.6326,2177
1075,2001-01-12 09:30:00,38.52324,11.217141,58.36908,1116
1108,2001-01-13 10:30:00,39.645386,17.296103,354.35645,2252
1242,2001-01-14 04:30:00,38.195816,3.8892395,24.777779,22
1256,2001-01-14 11:30:00,38.452805,20.104485,6243.286,2142
1303,2001-01-15 01:30:00,36.90478,21.064419,406.53528,395
1739,2001-01-19 10:30:00,37.68821,16.003897,254.58948,200
1760,2001-01-19 18:30:00,37.073418,13.694094,96.22349,86
1785,2001-01-20 01:30:00,35.89612,18.131105,105.15249,42
2183,2001-01-24 14:30:00,43.641,-8.171482,19.735168,16
2211,2001-01-24 21:30:00,46.070343,-2.5895362,124.42725,384
2224,2001-01-25 05:30:00,43.618866,-7.6347036,937.2156,1016
2365,2001-01-26 13:30:00,46.21158,19.598827,1539.1578,2289
2383,2001-01-26 15:30:00,48.383327,2.187533,15.516982,106
2434,2001-01-27 07:30:00,41.173412,8.992055,586.07324,680
2419,2001-01-27 20:30:00,47.04219,-5.681446,4337.8633,912
2496,2001-01-27 23:30:00,42.690697,16.414463,195.6235,106
2503,2001-01-28 00:30:00,38.74769,22.49325,9.579016,9
2532,2001-01-28 06:30:00,42.86218,1.4857188,1953.5492,767
2590,2001-01-29 10:30:00,42.523964,12.207841,2491.8804,3105
2678,2001-01-29 19:30:00,39.93506,17.368994,5458.08,1787
2690,2001-01-29 22:30:00,45.827034,12.618114,571.42017,1022
2711,2001-01-30 06:30:00,39.538433,20.337358,7128.247,2089
2752,2001-01-30 15:30:00,39.991295,23.295746,2030.155,1207
2779,2001-01-30 21:30:00,45.181156,23.10304,70.258156,524
3007,2001-02-02 17:30:00,50.19021,6.6261244,2550.8403,1195
3302,2001-02-06 04:30:00,49.710823,20.833996,761.48706,622
3517,2001-02-08 09:30:00,45.68353,2.494548,257.22314,114
3531,2001-02-08 23:30:00,49.360817,-3.6196642,1341.7943,346
3727,2001-02-11 00:30:00,36.040466,21.884422,1017.19775,278
3758,2001-02-12 03:30:00,35.328297,20.180527,89.79683,78
3877,2001-02-13 03:30:00,46.59164,15.032792,702.2578,3592
4703,2001-02-23 12:30:00,38.74133,-7.3819823,306.06223,226
4721,2001-02-24 04:30:00,36.569374,0.11732654,720.2086,382
4784,2001-02-24 14:30:00,40.7308,10.3780575,20.804525,84
4932,2001-02-26 03:30:00,40.619038,20.085493,44.287327,33
5032,2001-02-27 05:30:00,37.16653,1.8775996,122.229996,55
5049,2001-02-27 10:30:00,43.54251,-4.7795625,121.04718,134
5087,2001-02-27 20:30:00,38.810966,10.473653,608.6798,355
5119,2001-02-28 02:30:00,38.18248,13.615223,2263.7034,1065
5140,2001-02-28 06:30:00,41.526634,13.100135,616.27075,2204
5081,2001-02-28 06:30:00,37.7162,18.690845,0.0,71
5163,2001-02-28 15:30:00,39.637905,18.919842,1014.1079,1287
5435,2001-03-03 11:30:00,42.406532,-4.101221,2097.7996,598
5437,2001-03-03 15:30:00,47.23354,18.345732,1011.777,1292
6000,2001-03-10 06:30:00,37.112427,16.950827,410.52246,802
6418,2001-03-13 18:30:00,44.590836,17.464262,557.16547,535
6643,2001-03-16 15:30:00,40.852886,-7.5451026,2867.601,701
6760,2001-03-17 10:30:00,49.30305,-0.24055605,0.10107469,70
6771,2001-03-17 13:30:00,43.828037,11.047053,639.0543,101
6777,2001-03-17 14:30:00,49.403324,1.0286715,14.973876,11
7011,2001-03-19 18:30:00,50.723667,23.440725,2.631844,9
7789,2001-03-26 19:30:00,43.870003,12.296666,0.0,15
7964,2001-03-28 11:30:00,40.85563,7.6043353,54.065277,906
8145,2001-03-30 01:30:00,42.470375,12.098258,2526.6616,1391
8175,2001-03-30 06:30:00,40.13996,15.307751,1965.2894,1119
8277,2001-03-31 09:30:00,38.76649,14.629174,1133.3368,1588
8316,2001-03-31 12:30:00,36.95213,21.61992,3878.8027,2326
9228,2001-04-09 20:30:00,50.610386,-0.40659362,121.623535,228
9683,2001-04-14 10:30:00,42.879654,15.299248,0.42825788,11
9853,2001-04-16 10:30:00,46.094467,14.653365,19.35516,22
10135,2001-04-19 11:30:00,36.23287,4.52167,7.796258,56
10188,2001-04-20 05:30:00,38.805943,16.596169,1642.7883,789
10274,2001-04-21 01:30:00,43.066868,19.403706,28.77895,24
10315,2001-04-21 13:30:00,42.75188,21.763062,2863.8584,1064
10362,2001-04-21 22:30:00,40.27433,17.376518,577.1307,493
10371,2001-04-22 01:30:00,48.25076,21.006271,139.8312,405
10404,2001-04-22 09:30:00,41.785625,22.739405,64.68953,57
10504,2001-04-24 11:30:00,49.559322,20.35952,1130.5631,843
10664,2001-04-24 22:30:00,48.429565,3.6110687,390.4096,139
11178,2001-04-30 04:30:00,46.73678,8.421748,9.592767,10
11370,2001-05-02 04:30:00,38.007484,1.7549529,43.545643,230
11461,2001-05-02 23:30:00,46.526974,6.2604513,2710.0984,1071
11507,2001-05-03 09:30:00,42.843636,13.226107,19.86146,23
11611,2001-05-04 12:30:00,50.757687,16.438406,40.395763,37
11618,2001-05-04 13:30:00,47.863033,14.726984,132.21808,52
11627,2001-05-04 14:30:00,35.813053,7.1514406,29.954092,24
11635,2001-05-04 16:30:00,47.821415,8.826672,466.94827,246
11693,2001-05-05 11:30:00,49.981495,19.897655,386.28925,56
11699,2001-05-05 12:30:00,44.012672,18.604612,88.023026,136
11710,2001-05-05 13:30:00,48.03671,12.814597,39.256737,41
12102,2001-05-09 15:30:00,38.909145,1.7000113,32.62925,386
12116,2001-05-09 19:30:00,36.045425,5.487994,43.786514,78
12120,2001-05-09 20:30:00,50.894096,0.31027782,143.36578,27
12178,2001-05-10 13:30:00,46.29176,6.140687,658.05273,205
12309,2001-05-11 23:30:00,35.320698,18.489143,166.74983,45
12838,2001-05-17 13:30:00,50.978924,17.806715,0.33921206,11
12861,2001-05-17 21:30:00,41.79943,-0.17502522,286.50845,135
12925,2001-05-18 12:30:00,37.57523,-6.5113297,327.9233,127
12931,2001-05-18 14:30:00,48.85561,22.99903,115.61413,25
12926,2001-05-19 04:30:00,37.179317,-3.3624048,1030.9567,619
13281,2001-05-22 12:30:00,37.527325,-4.4235177,318.8936,277
13464,2001-05-24 10:30:00,37.400055,20.250006,426.7906,583
14119,2001-05-30 16:30:00,47.09617,1.7127753,58.1633,32
14191,2001-05-31 10:30:00,48.13449,13.095252,603.7105,472
14240,2001-05-31 20:30:00,45.460648,13.993884,175.27087,95
14444,2001-06-02 18:30:00,45.537426,11.262622,899.6853,426
14495,2001-06-03 07:30:00,47.128983,12.3116455,97.998245,64
14554,2001-06-03 19:30:00,44.370205,18.050137,4036.6572,559
15645,2001-06-14 12:30:00,41.350895,22.755512,237.88194,196
15863,2001-06-16 14:30:00,45.483364,8.429261,16.069988,10
15946,2001-06-17 09:30:00,48.793163,22.358498,47.412865,84
15975,2001-06-17 13:30:00,46.01965,12.608691,55.927982,36
15982,2001-06-17 15:30:00,45.546314,19.142542,784.4063,320
16028,2001-06-18 02:30:00,45.520508,18.219105,704.3722,303
16041,2001-06-18 05:30:00,45.405754,20.619572,523.05414,142
16116,2001-06-19 01:30:00,42.2787,23.435549,66.3926,60
16145,2001-06-19 09:30:00,42.315006,22.420967,21.772194,18
16949,2001-06-27 13:30:00,46.83605,8.426317,445.7702,117
17043,2001-06-28 11:30:00,47.442215,14.706406,222.39253,56
17129,2001-06-29 09:30:00,43.169315,20.32614,269.96072,69
17238,2001-06-30 15:30:00,47.234783,11.779085,245.05374,37
17226,2001-06-30 19:30:00,49.548477,9.679437,2072.001,434
17366,2001-07-02 03:30:00,40.75967,21.05697,26.746077,21
17670,2001-07-05 12:30:00,45.164745,1.8225538,210.14494,57
17698,2001-07-05 20:30:00,45.778698,1.8296846,2358.0273,349
17850,2001-07-07 14:30:00,48.948288,11.899636,1507.0908,596
17933,2001-07-08 09:30:00,49.53596,20.885235,45.87936,36
17978,2001-07-08 19:30:00,43.13929,-5.3809757,8.601226,13
18260,2001-07-11 16:30:00,50.247246,16.691301,1256.7971,221
18292,2001-07-11 22:30:00,49.572308,19.8446,19.955053,15
18666,2001-07-15 16:30:00,48.652626,11.919692,1029.3098,202
18798,2001-07-16 21:30:00,41.8803,15.708603,47.845646,135
18800,2001-07-16 22:30:00,44.435997,12.642785,264.31818,312
18854,2001-07-17 13:30:00,49.72034,21.150587,2266.7876,746
19178,2001-07-20 12:30:00,48.14677,18.29631,340.0335,114
19483,2001-07-23 01:30:00,46.467937,0.8184414,935.7511,215
19416,2001-07-23 02:30:00,50.82768,22.768229,1103.5328,603
19530,2001-07-23 12:30:00,47.0402,6.8126316,136.5214,39
19957,2001-07-27 12:30:00,45.567898,4.437487,113.06502,82
20014,2001-07-28 00:30:00,43.878834,-0.68335575,1387.1544,651
20065,2001-07-28 10:30:00,46.873596,6.332403,52.794025,12
20672,2001-08-03 13:30:00,48.685055,11.86446,5.5222034,15
20779,2001-08-04 15:30:00,45.25519,8.554385,250.958,134
20789,2001-08-04 16:30:00,51.087578,19.570007,34.983322,21
20841,2001-08-05 07:30:00,49.503967,20.2476,887.4709,197
21196,2001-08-08 15:30:00,49.921688,18.012756,15.353502,32
21425,2001-08-10 19:30:00,46.857086,21.625885,230.51279,66
21525,2001-08-11 20:30:00,46.112415,23.23979,303.36435,123
22061,2001-08-17 13:30:00,47.472984,12.189965,212.17651,64
22148,2001-08-18 15:30:00,45.637768,2.507556,370.34067,108
22218,2001-08-19 12:30:00,50.858494,13.904316,141.84007,64
22223,2001-08-19 13:30:00,40.914165,0.40572542,1.4965088,35
22287,2001-08-20 11:30:00,49.391476,15.294507,83.09552,18
22650,2001-08-24 15:30:00,42.488644,21.436083,417.53693,241
22759,2001-08-25 17:30:00,43.752277,-7.2683487,445.07254,431
23039,2001-08-28 20:30:00,45.10575,-0.9195324,2397.7844,721
23128,2001-08-29 13:30:00,44.966476,3.7100015,19.016071,46
23300,2001-08-31 11:30:00,46.078335,8.846131,621.0096,106
23380,2001-09-01 10:30:00,44.194923,13.293333,212.64337,58
23419,2001-09-01 20:30:00,45.02081,15.347668,1920.7546,1081
23426,2001-09-01 21:30:00,39.511314,1.3833404,167.19795,49
23573,2001-09-03 13:30:00,40.922123,0.071687765,70.46601,32
23720,2001-09-04 22:30:00,43.340313,12.578775,299.76794,67
23729,2001-09-05 01:30:00,40.03609,16.33318,14.859659,10
23749,2001-09-05 08:30:00,44.179916,17.045044,4720.905,1218
23777,2001-09-05 16:30:00,38.981148,21.810642,757.4345,258
23844,2001-09-06 13:30:00,40.674824,-2.2273364,41.180527,38
24107,2001-09-09 01:30:00,46.546124,18.125937,699.3172,122
24618,2001-09-14 11:30:00,36.096695,4.437523,5.2663145,27
24658,2001-09-14 20:30:00,42.209835,14.505175,54.281654,54
24699,2001-09-15 07:30:00,43.78425,18.115519,2729.9822,962
24716,2001-09-15 14:30:00,44.83324,18.852253,536.5633,101
24823,2001-09-16 13:30:00,44.573868,21.005016,17.312506,9
24926,2001-09-17 12:30:00,45.444164,20.12727,653.7273,252
24930,2001-09-17 13:30:00,42.416843,19.225235,667.8693,139
25036,2001-09-18 16:30:00,45.593777,20.568104,910.11084,276
25109,2001-09-19 10:30:00,36.46831,-3.9637637,1325.3761,548
25228,2001-09-21 06:30:00,35.486965,3.5300424,124.73908,138
25452,2001-09-22 17:30:00,43.29536,-4.6545525,6214.2334,2184
25818,2001-09-26 06:30:00,43.05614,15.225641,301.6679,87
25984,2001-09-28 08:30:00,37.42132,-1.3729173,981.5575,837
26027,2001-09-28 09:30:00,38.73463,-0.06013318,862.3815,244
26085,2001-09-28 23:30:00,41.629147,4.7195163,1114.1072,707
26139,2001-09-29 13:30:00,35.90643,7.2246847,28.445065,9
26202,2001-09-30 10:30:00,35.317837,6.560334,29.676056,10
26562,2001-10-04 21:30:00,37.02492,6.1337023,841.8691,578
27031,2001-10-09 14:30:00,40.52012,-0.2882094,62.625908,54
27075,2001-10-10 06:30:00,36.925526,-0.07168324,1415.9984,680
27154,2001-10-11 02:30:00,36.872414,1.2164098,1054.6733,618
28012,2001-10-20 08:30:00,41.91147,-8.982157,4002.2266,644
28050,2001-10-20 11:30:00,44.209896,-0.35196635,451.59583,385
28130,2001-10-21 10:30:00,41.92672,16.47207,2753.107,1639
28441,2001-10-25 00:30:00,41.892254,16.27628,647.85657,121
28495,2001-10-25 12:30:00,38.663933,20.191168,1321.4762,465
29244,2001-11-03 12:30:00,36.923836,23.330881,658.4435,174
29293,2001-11-04 15:30:00,36.700363,23.433987,2860.7397,633
29481,2001-11-05 18:30:00,42.51237,7.324194,0.0,93
29569,2001-11-06 19:30:00,38.708435,2.5434399,31.377316,17
29602,2001-11-07 06:30:00,38.57517,23.29098,1.9676493,42
29746,2001-11-09 06:30:00,49.511787,1.8990113,138.0588,322
29849,2001-11-09 16:30:00,43.14002,17.938047,2753.1267,2981
29874,2001-11-09 23:30:00,41.029198,19.002771,1075.8612,153
29955,2001-11-10 19:30:00,43.08657,16.537329,3027.3396,1358
30043,2001-11-11 20:30:00,45.235626,11.325536,4795.449,4218
30051,2001-11-11 23:30:00,45.87681,12.07742,3858.962,1834
30104,2001-11-12 13:30:00,41.408825,-4.4558825,0.0,17
30212,2001-11-13 17:30:00,42.64098,18.32071,2422.678,1352
30222,2001-11-13 19:30:00,40.58276,20.381731,3408.5137,597
30542,2001-11-17 05:30:00,41.820583,0.22504139,124.7066,34
30598,2001-11-17 19:30:00,41.22604,2.770789,499.17273,140
31102,2001-11-22 21:30:00,39.082207,12.025751,153.81572,44
31110,2001-11-22 22:30:00,44.66864,16.864576,579.81866,261
31505,2001-11-27 15:30:00,42.06258,9.73824,268.48785,48
31526,2001-11-27 22:30:00,38.935604,13.263643,4804.999,853
31537,2001-11-28 02:30:00,44.658527,15.1261425,2167.235,1353
31548,2001-11-28 04:30:00,38.07389,15.465772,1724.1235,1723
31579,2001-11-28 13:30:00,41.7898,19.330238,5074.7217,4450
31837,2001-11-30 23:30:00,40.196053,20.378805,133.65878,172
31991,2001-12-02 11:30:00,48.657303,-0.99737155,79.658844,416
32188,2001-12-04 23:30:00,48.100216,8.609044,2408.9158,1542
32346,2001-12-06 21:30:00,37.579353,18.087046,210.95947,45
32626,2001-12-10 06:30:00,37.52911,15.521028,191.20325,57
33090,2001-12-16 01:30:00,38.66674,-7.969593,25.465403,110
33211,2001-12-17 11:30:00,38.87975,22.508743,972.562,176
33221,2001-12-17 14:30:00,37.83988,24.568356,34.75125,26
33833,2001-12-24 18:30:00,37.650238,17.570799,0.13354011,9
33830,2001-12-25 00:30:00,35.781418,-5.4053173,685.5791,165
33894,2001-12-25 09:30:00,50.310608,6.2046285,1316.1719,250
34144,2001-12-27 23:30:00,38.64767,24.406246,211.60344,38
720,2002-01-08 10:30:00,45.2706,-8.515968,6.485912,46
1258,2002-01-14 22:30:00,44.420067,17.119993,175.19336,206
1322,2002-01-15 12:30:00,38.380486,16.797766,702.6216,270
1433,2002-01-16 17:30:00,42.090996,16.402285,42.690163,54
1472,2002-01-17 05:30:00,40.608322,19.271864,1117.7125,974
2089,2002-01-24 15:30:00,45.18541,10.507391,863.103,1231
2974,2002-02-05 16:30:00,44.051624,0.18001668,8822.37,2758
3079,2002-02-06 23:30:00,36.830357,6.372374,209.12975,58
3212,2002-02-08 15:30:00,36.385906,22.143835,337.66937,536
4005,2002-02-17 21:30:00,43.364517,11.256744,188.22083,309
4396,2002-02-23 07:30:00,36.709846,21.994383,338.93427,590
5181,2002-03-04 00:30:00,37.50474,-7.620149,101.04259,32
5214,2002-03-04 07:30:00,37.814682,-1.4188442,1217.4958,1016
5266,2002-03-05 01:30:00,40.647995,1.2135098,1127.7742,526
5482,2002-03-07 09:30:00,37.799706,14.833597,831.9909,1792
6054,2002-03-14 03:30:00,41.47075,-8.080759,74.719,72
6114,2002-03-14 18:30:00,36.546627,4.2685094,139.28317,102
6322,2002-03-17 09:30:00,37.382652,9.0866785,48.022827,41
6748,2002-03-21 22:30:00,46.025887,15.756389,91.021255,132
7372,2002-03-28 04:30:00,35.68858,-6.5327587,68.054726,42
8243,2002-04-07 14:30:00,38.789364,-5.861401,1740.7072,2060
8446,2002-04-09 12:30:00,44.39913,12.524638,121.16929,94
8531,2002-04-10 12:30:00,41.5247,-1.9363403,71.08168,603
8563,2002-04-10 21:30:00,38.960213,11.979794,531.31256,676
8622,2002-04-11 15:30:00,39.60915,12.659738,1087.8086,1084
8783,2002-04-13 11:30:00,43.04025,19.850758,34.611435,14
8807,2002-04-13 17:30:00,43.372772,17.826172,1360.5798,331
8994,2002-04-16 13:30:00,39.534523,23.599976,545.692,701
9601,2002-04-22 01:30:00,37.929535,15.436504,565.7126,401
10520,2002-05-02 10:30:00,37.00778,13.065433,1138.3965,1492
10941,2002-05-06 11:30:00,49.615433,20.238249,545.67847,92
11129,2002-05-08 21:30:00,46.88289,8.293099,770.59033,573
11188,2002-05-09 12:30:00,47.811653,2.2957158,267.9382,551
11273,2002-05-10 11:30:00,48.558445,15.022848,149.76933,38
11281,2002-05-10 14:30:00,44.89705,18.020302,354.62424,106
11275,2002-05-10 21:30:00,35.9274,11.419207,393.2257,145
11343,2002-05-11 11:30:00,41.905273,24.132172,67.33421,33
11342,2002-05-11 11:30:00,51.574318,15.326682,52.65261,40
11375,2002-05-11 23:30:00,37.428493,10.415681,183.90163,117
11434,2002-05-12 16:30:00,40.351166,21.378317,21.901201,12
11912,2002-05-18 11:30:00,42.32293,8.988675,1331.0358,257
11925,2002-05-18 14:30:00,48.04094,9.428237,141.25768,31
12003,2002-05-19 13:30:00,44.310745,17.264513,270.68112,210
12349,2002-05-23 13:30:00,49.68932,14.730229,33.802525,63
12473,2002-05-24 21:30:00,37.36807,20.696592,375.34094,137
12536,2002-05-25 14:30:00,45.82377,8.241857,35.58013,24
12539,2002-05-25 15:30:00,44.06694,18.386139,37.582268,26
12597,2002-05-26 10:30:00,48.907562,20.185738,105.93814,71
12666,2002-05-27 03:30:00,46.55976,8.427097,503.7317,169
12699,2002-05-27 12:30:00,48.98972,20.678549,157.07628,60
12720,2002-05-27 16:30:00,45.20259,12.330367,393.35126,258
12743,2002-05-27 22:30:00,38.668915,14.588515,579.5453,316
12808,2002-05-28 15:30:00,49.943058,21.280783,581.59326,165
13104,2002-05-31 12:30:00,43.355755,-5.5376296,790.5734,226
13475,2002-06-03 18:30:00,43.047825,-0.30521035,31.599058,62
13569,2002-06-04 18:30:00,50.868233,23.447453,297.06635,184
13691,2002-06-05 14:30:00,48.543674,10.651152,33.758144,23
13719,2002-06-05 20:30:00,42.225784,11.746476,10.919392,43
13753,2002-06-06 04:30:00,42.93093,7.8706985,97.77836,36
13804,2002-06-06 16:30:00,49.64329,15.152078,222.11896,213
14121,2002-06-10 02:30:00,46.275024,21.375786,3211.6987,1703
14805,2002-06-16 13:30:00,48.211014,12.193768,296.346,307
15083,2002-06-19 13:30:00,47.0831,10.051715,927.1142,140
15110,2002-06-19 21:30:00,45.02943,7.1489353,108.20346,22
15277,2002-06-21 21:30:00,51.51091,20.76444,63.652973,49
15408,2002-06-23 12:30:00,47.42999,15.276341,224.93451,138
15504,2002-06-24 14:30:00,44.214783,7.7933187,17.27994,11
15588,2002-06-25 15:30:00,38.4223,-5.111379,7.536132,24
15590,2002-06-25 16:30:00,40.055683,-6.8522544,79.923325,80
15676,2002-06-26 14:30:00,42.256252,-6.0693655,403.9117,139
15758,2002-06-27 15:30:00,45.345413,4.5985074,77.69919,24
15840,2002-06-28 12:30:00,45.553154,12.867033,2450.0386,188
